feature,rtmed.x,mzmed.x,keep,compound_name,keep_final,reason
FT0081,517.6272,112.0508537,NA,NA,y,ok. cytosine? - matches exp2 FT057
FT0266,527.89301,152.0566938,NA,NA,y,Guanine - matches exp2 FT228
FT0370,530.02753,176.0917958,NA,NA,n,too messy
FT0076,537.69611,109.0813945,NA,NA,n,too messy
FT0114,540.72723,121.0319195,NA,NA,y,DMS-ac - matches exp2 FT092
FT0286,546.33582,158.0811808,NA,NA,n,too messy
FT0374,556.84064,176.1281291,y,NA,n,too messy
FT0593,557.12036,238.1558824,y,NA,n,messy and only M has sig change
FT0318,557.92603,165.0579835,NA,NA,n,too messy
FT0578,559.15326,236.1491368,NA,NA,y,legit - matches exp2 FT555
FT0403,570.44928,180.101788,NA,NA,y,legit - matches exp2 FT366
FT0339,579.97058,170.0480754,NA,NA,n,too messy
FT0279,581.95013,155.0814058,NA,NA,y,legit - matches exp2 FT243
FT0621,583.91553,246.0971046,NA,NA,y,noisy but ok - matches exp2 FT600
FT0316,589.30432,165.0546389,NA,NA,n,too messy
FT0131,591.4982,124.0064365,NA,NA,n,too messy
FT0443,596.7099,191.0097013,NA,NA,n,too messy
FT0480,597.543,198.0890002,y,NA,y,ok
FT0235,597.8999,145.0607224,y,NA,y,ok - matches exp2 FT197
FT0435,598.51459,189.0757695,NA,NA,n,too messy
FT0165,609.3999,132.1019243,y,beta-Alaninebetaine,y,matches exp2 FT134
FT0296,610.83154,160.096805,y,Turicine,n,too messy
FT0324,614.25958,166.086263,NA,NA,n,too messy
FT0183,620.7179,135.0473719,y,Dimethylsulfoniopropionate,y,legit - matches exp2 FT154
FT0887,621.46112,329.1340188,y,NA,y,legit - matches exp2 FT807
FT0307,622.52521,162.1124301,NA,NA,y,"legit, carnitine? - matches exp2 FT276"
FT0161,625.98798,131.0702408,y,NA,n,too messy
FT0240,631.07721,146.1175404,NA,NA,y,legit; acetylcholine? - matches exp2 FT203
FT0721,632.92279,271.1288212,NA,NA,n,too messy
FT0317,634.27582,165.058007,y,NA,n,too messy
FT0668,634.393,255.1073451,y,2-O-alpha-D-Glucosylglycerol,n,too messy
FT0305,634.66736,162.0760898,y,NA,n,too messy
FT0888,638.30707,329.1342726,NA,NA,y,matches exp2 FT807
FT0030,640.88062,90.05545385,NA,NA,y,legit - maybe matches exp2 FT028
FT0577,642.84851,236.1490991,NA,NA,y,legit - matches exp2 FT554
FT0140,644.828185,126.0220497,NA,NA,y,legit - matches exp2 FT112
FT0371,646.76428,176.0916967,y,NA,y,legit - matches exp2 FT332
FT0799,647.75644,294.9879881,NA,NA,n,too messy
FT0157,648.85797,130.0863562,y,NA,y,legit - very similar to exp1 FT0371
FT0256,649.12231,149.0631063,y,NA,n,too messy
FT0108,649.7663,120.0657313,NA,NA,n,too messy
FT0849,650.7388,314.0325613,NA,NA,n,too messy
FT0359,656.92908,174.0873322,y,NA,n,too messy
FT0930,657.496065,347.1448254,y,NA,y,messy but ok - matches exp2 FT830
FT0700,660.99109,266.1597614,NA,NA,y,messy but ok - matches exp2 FT669
FT0373,664.1546,176.1281313,NA,NA,y,legit - matche exp2 FT337
FT0018,666.941525,84.08941463,NA,NA,n,messy and only M has sig change
FT0448,669.01373,192.1230102,y,NA,n,too messy
FT0452,669.04736,193.0529689,y,NA,y,legit - matches exp2 FT418
FT0365,670.87305,175.1077397,NA,NA,y,GBT-gly? - matches exp2 FT328
FT0796,675.631225,294.1546181,NA,NA,n,too messy
FT0657,680.01752,252.1439276,NA,NA,y,legit - matches exp2 FT633
FT0498,684.90887,209.0477813,y,NA,y,legit - matches exp2 FT470
FT0396,684.98694,179.0735512,y,NA,y,similar peak shape to FT0657 - matches exp2 FT359
FT0614,685.57397,245.1131482,y,NA,y,legit - matches exp2 FT596
FT0164,685.75269,132.076819,y,Creatine,y,matches exp2 FT133
FT0107,692.86383,120.065728,NA,NA,n,too messy
FT0867,700.64532,320.0719489,y,NA,y,messy but ok
FT0869,700.7608,321.1059704,y,NA,y,messy but ok
FT0676,701.75421,258.1100581,y,Glycerophosphocholine,y,similar peak shape to FT0869 - matches exp2 FT652
FT0065,701.86786,104.1073589,y,NA,y,choline? - matches exp2 FT046
FT0243,702.2677,147.0763705,y,L-Glutamine,y,matches exp2 FT206
FT0911,705.026915,336.1329386,NA,NA,n,isotope of something else
FT0899,706.13104,333.1290886,NA,NA,y,legit - matches exp2 FT814
FT0895,707.359405,331.113581,NA,NA,n,noise
FT0154,714.16711,130.0499665,NA,NA,n,too messy
FT0206,715.30695,139.0156674,NA,NA,n,too messy
FT0731,715.64215,275.0711436,NA,NA,y,legit
FT0933,720.222505,348.0703334,NA,NA,n,too messy
FT0073,723.63489,106.0502262,NA,NA,n,too messy
FT0250,730.32739,148.0603685,NA,NA,y,Glutamic acid - matches exp2 FT210
FT0447,730.93311,192.0243228,NA,NA,n,"noisey, related to FT0250"
FT0679,732.217315,259.0304803,NA,NA,n,"noisey, related to FT0250"
FT0306,745.63092,162.0760982,NA,NA,n,"noisey, related to FT0250"
FT0533,752.48309,222.0223414,NA,NA,n,"noisey, related to FT0250"
FT0066,759.68903,104.1073494,NA,NA,n,duplicate of choline/Ft0067
FT0422,765.13477,184.0733673,y,NA,y,messy but ok. Phosphocholine? - matches exp2 FT391
FT0875,767.75488,325.0431353,NA,NA,n,too messy
FT0486,780.612,201.0345236,NA,NA,y,ok
FT1019,787.59674,417.160314,NA,NA,n,too messy
FT0067,811.48608,104.1073535,NA,NA,y,choline? - matches exp2 FT047
FT0424,847.35089,184.073319,NA,NA,n,"too messy, related to choline?"
FT1067,848.24738,481.9031061,NA,NA,n,too messy
FT0064,884.55832,104.1072975,NA,NA,n,duplicate of choline/Ft0067
FT0244,1093.01746,147.1127839,NA,NA,n,just base mass
FT0147,1133.688475,127.0979652,NA,NA,n,too noisey
