UW# or Station #,Cast,Depth (m),Sample ID,Local Date,Local Time,Vol Filtered,Vol Filtered (L),Time Start,Time End,Notes (spike time),Sample Type,Incubation time (hr),Experiment,Timepoint,Time of day,rep,Time since last sample (hr)
S4,C16,15,GBTFate1MT8_C,4/17/2019,,2L,2,15:48,16:15,7:05,Metab,9,Fate1,8,1600,C,4.5
S4,C16,15,GBTFate1HT8_A,4/17/2019,,200 mL,0.2,15:40,,,Hydrolysis,9,Fate1,8,1600,A,4.5
S4,C16,15,GBTFate1HT8_B,4/17/2019,,200 mL,0.2,15:40,,,Hydrolysis,9,Fate1,8,1600,B,4.5
S4,C16,15,GBTFate1HT8_C,4/17/2019,,200 mL,0.2,15:40,,,Hydrolysis,9,Fate1,8,1600,C,4.5
S4,C16,15,GBTFate1NutsT8_A,4/17/2019,,~40 mL,0.04,15:38,,,Nuts,9,Fate1,8,1600,A,4.5
S4,C16,15,GBTFate1NutsT8_B,4/17/2019,,~40 mL,0.04,15:38,,,Nuts,9,Fate1,8,1600,B,4.5
S4,C16,15,GBTFate1NutsT8_C,4/17/2019,,~40 mL,0.04,15:38,,,Nuts,9,Fate1,8,1600,C,4.5
S4,C16,15,GBTFate1FCMT8_A,4/17/2019,,2 mL,0.002,15:27,,,FCM,9,Fate1,8,1600,A,4.5
S4,C16,15,GBTFate1FCMT8_B,4/17/2019,,2 mL,0.002,15:27,,,FCM,9,Fate1,8,1600,B,4.5
S4,C16,15,GBTFate1FCMT8_C,4/17/2019,,2 mL,0.002,15:27,,says T5 on actual vial,FCM,9,Fate1,8,1600,C,4.5
S4,C16,15,GBTFate1MT12_A,4/17/2019,,2L,2,19:31,19:57,7:22,Metab,12.5,Fate1,12,1930,A,3.5
S4,C16,15,GBTFate1MT12_B,4/17/2019,,2L,2,19:30,19:57,7:09,Metab,12.5,Fate1,12,1930,B,3.5
S4,C16,15,GBTFate1MT12_C,4/17/2019,,2L,2,19:30,19:57,7:18,Metab,12.5,Fate1,12,1930,C,3.5
S4,C16,15,GBTFate1HT12_A,4/17/2019,,200 mL,0.2,19:25,,,Hydrolysis,12.5,Fate1,12,1930,A,3.5
S4,C16,15,GBTFate1HT12_B,4/17/2019,,200 mL,0.2,19:25,,,Hydrolysis,12.5,Fate1,12,1930,B,3.5
S4,C16,15,GBTFate1HT12_C,4/17/2019,,200 mL,0.2,19:25,,,Hydrolysis,12.5,Fate1,12,1930,C,3.5
S4,C16,15,GBTFate1NutsT12_A,4/17/2019,,~40 mL,0.04,19:24,,,Nuts,12.5,Fate1,12,1930,A,3.5
S4,C16,15,GBTFate1NutsT12_B,4/17/2019,,~40 mL,0.04,19:24,,,Nuts,12.5,Fate1,12,1930,B,3.5
S4,C16,15,GBTFate1NutsT12_C,4/17/2019,,~40 mL,0.04,19:24,,,Nuts,12.5,Fate1,12,1930,C,3.5
S4,C16,15,GBTFate1FCMT12_A,4/17/2019,,2 mL,0.002,19:15,,,FCM,12.5,Fate1,12,1930,A,3.5
S4,C16,15,GBTFate1FCMT12_B,4/17/2019,,2 mL,0.002,19:15,,,FCM,12.5,Fate1,12,1930,B,3.5
S4,C16,15,GBTFate1FCMT12_C,4/17/2019,,2 mL,0.002,19:15,,,FCM,12.5,Fate1,12,1930,C,3.5
S4,C16,15,GBTFate1MT36_A,4/18/2019,17:00,2L,2,19:03,19:26,7:14 (on 4/17/19),Metab,36,Fate1,36,1900,A,23.5
S4,C16,15,GBTFate1MT36_B,4/18/2019,17:00,2L,2,19:03,19:40,7:05 (on 4/17/19),Metab,36,Fate1,36,1900,B,23.5
S4,C16,15,GBTFate1MT36_C,4/18/2019,17:00,2L,2,19:03,19:32,7:14 (on 4/17/19),Metab,36,Fate1,36,1900,C,23.5
S4,C16,15,GBTFate1HT36_A,4/18/2019,17:00,200 mL,0.2,18:58,18:59,,Hydrolysis,36,Fate1,36,1900,A,23.5
S4,C16,15,GBTFate1HT36_B,4/18/2019,17:00,220 mL,0.2,18:58,18:59,,Hydrolysis,36,Fate1,36,1900,B,23.5
S4,C16,15,GBTFate1HT36_C,4/18/2019,17:00,200 mL,0.2,18:58,18:59,,Hydrolysis,36,Fate1,36,1900,C,23.5
S4,C16,15,GBTFate1NutsT36_A,4/18/2019,17:00,~40 mL,0.04,18:50,18:57,,Nuts,36,Fate1,36,1900,A,23.5
S4,C16,15,GBTFate1NutsT36_B,4/18/2019,17:00,~40 mL,0.04,18:50,18:57,,Nuts,36,Fate1,36,1900,B,23.5
S4,C16,15,GBTFate1NutsT36_C,4/18/2019,17:00,~40 mL,0.04,18:50,18:57,no FCM samples,Nuts,36,Fate1,36,1900,C,23.5
S4,C16,15,GBTFate1HBlk_A,4/18/2019,19:40,200 mL,0.002,19:38,19:38,from T36 A filtrate,Hydrolysis,36,Fate1,36,1900,A,23.5
S4,C16,15,GBTFate1HBlk_B,4/18/2019,19:40,200 mL,0.002,19:38,19:38,from T36 B filtrate,Hydrolysis,36,Fate1,36,1900,B,23.5
S4,C16,15,GBTFate1MBlk_A,4/18/2019,19:40,1.10L,1.1,19:37,19:43,from T36 A filtrate,Metab,36,Fate1,36,1900,A,23.5
S4,C16,15,GBTFate1MBlk_B,4/18/2019,19:40,1.15L,1.15,19:37,19:46,from T36 B filtrate,Metab,36,Fate1,36,1900,B,23.5
S4,C16,15,GBTFate1MT50_A,4/19/2019,9:00,2L,2,8:55,9:17,7:05 (on 4/17/19),Metab,50,Fate1,50,900,A,14
S4,C16,15,GBTFate1MT50_B,4/19/2019,9:00,2L,2,8:55,9:20,7:18 (on 4/17/19),Metab,50,Fate1,50,900,B,14
S4,C16,15,GBTFate1MT50_C,4/19/2019,9:00,2L,2,8:55,9:25,7:22 (on 4/17/19),Metab,50,Fate1,50,900,C,14
S4,C16,15,GBTFate1HT50_A,4/19/2019,9:00,200 mL,0.2,8:54,8:55,7:05 (on 4/17/19),Hydrolysis,50,Fate1,50,900,A,14
S4,C16,15,GBTFate1HT50_B,4/19/2019,9:00,200 mL,0.2,8:54,8:55,7:18 (on 4/17/19),Hydrolysis,50,Fate1,50,900,B,14
S4,C16,15,GBTFate1HT50_C,4/19/2019,9:00,200 mL,0.2,8:54,8:55,7:22 (on 4/17/19),Hydrolysis,50,Fate1,50,900,C,14
S4,C16,15,GBTFate1NutsT50_A,4/19/2019,9:00,~40 mL,0.04,8:52,,,Nuts,50,Fate1,50,900,A,14
S4,C16,15,GBTFate1NutsT50_B,4/19/2019,9:00,~40 mL,0.04,8:52,,,Nuts,50,Fate1,50,900,B,14
S4,C16,15,GBTFate1NutsT50_C,4/19/2019,9:00,~40 mL,0.04,8:52,,,Nuts,50,Fate1,50,900,C,14
S4,C16,15,GBTFate1FCMT50_A,4/19/2019,9:00,2 mL,0.002,8:50,,Labeled T48 on cyrovial,FCM,50,Fate1,50,900,A,14
S4,C16,15,GBTFate1FCMT50_B,4/19/2019,9:00,2 mL,0.002,8:50,,,FCM,50,Fate1,50,900,B,14
S4,C16,15,GBTFate1FCMT50_C,4/19/2019,9:00,2 mL,0.002,8:50,,,FCM,50,Fate1,50,900,C,14
S4,C16,15,GBTFate1C/NT50_A,4/19/2019,9:00,,,8:43,14:00,,C/N,50,Fate1,50,900,A,14
S4,C16,15,GBTFate1C/NT50_B,4/19/2019,9:00,,,8:44,15:15,,C/N,50,Fate1,50,900,B,14
S4,C16,15,GBTFate1-16S/18ST50_A,4/19/2019,,1L,1,,,,16S/18S,50,Fate1,50,900,A,14
S4,C16,15,GBTFate1-16S/18ST50_B,4/19/2019,,1L,1,,,,16S/18S,50,Fate1,50,900,B,14
S4,C16,15,GBTFate1-16S/18ST50_C,4/19/2019,,1L,1,,,,16S/18S,50,Fate1,50,900,C,14
S4,C16,15,GBTFate1MTlong_A,4/21/2019,,1.9L,1.9,8:37,9:44,7:14 (on 4/17/19),Metab,98,Fate1,96,800,A,48
S4,C16,15,GBTFate1MTlong_B,4/21/2019,,1.8L,1.8,8:37,9:44,7:09 (on 4/17/19),Metab,98,Fate1,96,800,B,48
S4,C16,15,GBTFate1MTlong_C,4/21/2019,,2L,2,8:37,9:44,7:09 (on 4/17/19),Metab,98,Fate1,96,800,C,48
S4,C16,15,GBTFate1HTlong_A,4/21/2019,,200 mL,0.2,8:32,,,Hydrolysis,98,Fate1,96,800,A,48
S4,C16,15,GBTFate1HTlong_B,4/21/2019,,200 mL,0.2,8:32,,,Hydrolysis,98,Fate1,96,800,B,48
S4,C16,15,GBTFate1HTlong_C,4/21/2019,,200 mL,0.2,8:32,,,Hydrolysis,98,Fate1,96,800,C,48
S4,C16,15,GBTFate1NutsTlong_A,4/21/2019,,40 mL,0.04,8:30,,,Nuts,98,Fate1,96,800,A,48
S4,C16,15,GBTFate1NutsTlong_B,4/21/2019,,40 mL,0.04,8:30,,,Nuts,98,Fate1,96,800,B,48
S4,C16,15,GBTFate1NutsTlong_C,4/21/2019,,40 mL,0.04,8:30,,,Nuts,98,Fate1,96,800,C,48
S5,C7,15,GBTFate2C/NT0_noSpike,4/20/2019,6:00,4L,4,6:58,8:48,NA,C/N,0,Fate2,0,700,noSpike,0
S5,C7,15,GBTFate2C/NT0_Spike,4/20/2019,,4L,4,6:58,8:48,6:56,C/N,2,Fate2,0,700,Spike,0
S5,C7,15,GBTFate2MT0_A,4/20/2019,,2L,2,7:13,7:35,7:06,Metab,0.3,Fate2,0,700,A,0
S5,C7,15,GBTFate2MT0_B,4/20/2019,,2L,2,7:13,7:36,7:06,Metab,0.3,Fate2,0,700,B,0
S5,C7,15,GBTFate2MT0_C,4/20/2019,,2L,2,7:13,7:35,7:06,Metab,0.3,Fate2,0,700,C,0
S5,C7,15,GBTFate2HT0_A,4/20/2019,,200 mL,0.2,7:11,7:13,7:06,Hydrolysis,0,Fate2,0,700,A,0
S5,C7,15,GBTFate2HT0_B,4/20/2019,,200 mL,0.2,7:11,7:13,7:06,Hydrolysis,0,Fate2,0,700,B,0
S5,C7,15,GBTFate2HT0_C,4/20/2019,,200 mL,0.2,7:11,7:13,7:06,Hydrolysis,0,Fate2,0,700,C,0
S5,C7,15,GBTFate2NutsT0_A,4/20/2019,,~40 mL,0.04,7:06,7:12,7:06,Nuts,0,Fate2,0,700,A,0
S5,C7,15,GBTFate2NutsT0_B,4/20/2019,,~40 mL,0.04,7:06,7:12,7:06,Nuts,0,Fate2,0,700,B,0
S5,C7,15,GBTFate2NutsT0_C,4/20/2019,,~40 mL,0.04,7:06,7:12,7:06,Nuts,0,Fate2,0,700,C,0
S5,C7,15,GBTFate2FCMT0_A,4/20/2019,,2 mL,0.002,7:08,7:08,7:06,FCM,0,Fate2,0,700,A,0
S5,C7,15,GBTFate2FCMT0_B,4/20/2019,,2 mL,0.002,7:08,7:08,7:06,FCM,0,Fate2,0,700,B,0
S5,C7,15,GBTFate2FCMT0_C,4/20/2019,,2 mL,0.002,7:08,7:08,7:06,FCM,0,Fate2,0,700,C,0
S5,C7,15,GBTFate2MT5_A,4/20/2019,,2L,2,12:27,12:50,6:35,Metab,6,Fate2,5,1300,A,5.75
S5,C7,15,GBTFate2MT5_B,4/20/2019,,2L,2,12:29,13:00,6:22,Metab,6,Fate2,5,1300,B,5.75
S5,C7,15,GBTFate2MT5_C,4/20/2019,,2L,2,12:28,12:52,6:22,Metab,6,Fate2,5,1300,C,5.75
S5,C7,15,GBTFate2HT5_A,4/20/2019,,200 mL,0.2,12:27,12:29,6:35,Hydrolysis,6,Fate2,5,1300,A,5.75
S5,C7,15,GBTFate2HT5_B,4/20/2019,,200 mL,0.2,12:27,12:29,6:22,Hydrolysis,6,Fate2,5,1300,B,5.75
S5,C7,15,GBTFate2HT5_C,4/20/2019,,200 mL,0.2,12:27,12:29,6:22,Hydrolysis,6,Fate2,5,1300,C,5.75
S5,C7,15,GBTFate2NutsT5_A,4/20/2019,,~40 mL,0.04,12:26,12:28,,Nuts,6,Fate2,5,1300,A,5.75
S5,C7,15,GBTFate2NutsT5_B,4/20/2019,,~40 mL,0.04,12:26,12:28,,Nuts,6,Fate2,5,1300,B,5.75
S5,C7,15,GBTFate2NutsT5_C,4/20/2019,,~40 mL,0.04,12:26,12:28,,Nuts,6,Fate2,5,1300,C,5.75
S5,C7,15,GBTFate2FCMT5_A,4/20/2019,,2 mL,0.002,12:26,,,FCM,6,Fate2,5,1300,A,5.75
S5,C7,15,GBTFate2FCMT5_B,4/20/2019,,2 mL,0.002,12:26,,,FCM,6,Fate2,5,1300,B,5.75
S5,C7,15,GBTFate2FCMT5_C,4/20/2019,,2 mL,0.002,12:26,,,FCM,6,Fate2,5,1300,C,5.75
S5,C7,15,GBTFate2MT12_A,4/20/2019,,2L,2,18:43,19:14,6:31,Metab,13,Fate2,12,1900,A,7
S5,C7,15,GBTFate2MT12_B,4/20/2019,,2L,2,18:43,19:26,6:22,Metab,13,Fate2,12,1900,B,7
S5,C7,15,GBTFate2MT12_C,4/20/2019,,2L,2,18:43,19:14,6:22,Metab,13,Fate2,12,1900,C,7
S5,C7,15,GBTFate2HT12_A,4/20/2019,,200 mL,0.2,18:41,18:43,,Hydrolysis,13,Fate2,12,1900,A,7
S5,C7,15,GBTFate2HT12_B,4/20/2019,,200 mL,0.2,18:41,18:43,,Hydrolysis,13,Fate2,12,1900,B,7
S5,C7,15,GBTFate2HT12_C,4/20/2019,,200 mL,0.2,18:41,18:43,,Hydrolysis,13,Fate2,12,1900,C,7
S5,C7,15,GBTFate2NutsT12_A,4/20/2019,,~40 mL,0.04,18:35,18:40,,Nuts,13,Fate2,12,1900,A,7
S5,C7,15,GBTFate2NutsT12_B,4/20/2019,,~40 mL,0.04,18:35,18:40,,Nuts,13,Fate2,12,1900,B,7
S5,C7,15,GBTFate2NutsT12_C,4/20/2019,,~40 mL,0.04,18:35,18:40,,Nuts,13,Fate2,12,1900,C,7
S5,C7,15,GBTFate2FCMT12_A,4/20/2019,,2 mL,0.002,18:34,,,FCM,13,Fate2,12,1900,A,7
S5,C7,15,GBTFate2FCMT12_B,4/20/2019,,2 mL,0.002,18:34,,,FCM,13,Fate2,12,1900,B,7
S5,C7,15,GBTFate2FCMT12_C,4/20/2019,,2 mL,0.002,18:34,,,FCM,13,Fate2,12,1900,C,7
S5,C7,15,GBTFate2MT24_A,4/21/2019,,2L,2,6:51,7:21,6:26,Metab,25,Fate2,24,700,A,12
S5,C7,15,GBTFate2MT24_B,4/21/2019,,2L,2,6:51,7:30,6:31,Metab,25,Fate2,24,700,B,12
S5,C7,15,GBTFate2MT24_C,4/21/2019,,2L,2,6:51,7:23,6:26,Metab,25,Fate2,24,700,C,12
S5,C7,15,GBTFate2HT24_A,4/21/2019,,200 mL,0.2,6:50,6:52,,Hydrolysis,25,Fate2,24,700,A,12
S5,C7,15,GBTFate2HT24_B,4/21/2019,,220 mL,0.2,6:50,6:52,,Hydrolysis,25,Fate2,24,700,B,12
S5,C7,15,GBTFate2HT24_C,4/21/2019,,200 mL,0.2,6:50,6:52,,Hydrolysis,25,Fate2,24,700,C,12
S5,C7,15,GBTFate2NutsT24_A,4/21/2019,,45 mL,0.045,6:44,6:49,,Nuts,25,Fate2,24,700,A,12
S5,C7,15,GBTFate2NutsT24_B,4/21/2019,,45 mL,0.045,6:44,6:49,,Nuts,25,Fate2,24,700,B,12
S5,C7,15,GBTFate2NutsT24_C,4/21/2019,,45 mL,0.045,6:44,6:49,,Nuts,25,Fate2,24,700,C,12
S5,C7,15,GBTFate2FCMT24_A,4/21/2019,,2 mL,0.002,6:43,,,FCM,25,Fate2,24,700,A,12
S5,C7,15,GBTFate2FCMT24_B,4/21/2019,,2 mL,0.002,6:43,,,FCM,25,Fate2,24,700,B,12
S5,C7,15,GBTFate2FCMT24_C,4/21/2019,,2 mL,0.002,6:43,,,FCM,25,Fate2,24,700,C,12
S5,C7,15,GBTFate2MT48_A,4/22/2019,8:15,2L,2,8:47,9:10,6:26 (from 4/20/19),Metab,51,Fate2,48,900,A,26
S5,C7,15,GBTFate2MT48_B,4/22/2019,8:15,2L,2,8:47,9:14,6:26 (from 4/20/19),Metab,51,Fate2,48,900,B,26
S5,C7,15,GBTFate2MT48_C,4/22/2019,8:15,2L,2,8:47,9:12,6:26 (from 4/20/19),Metab,51,Fate2,48,900,C,26
S5,C7,15,GBTFate2HT48_A,4/22/2019,8:15,200 mL,0.2,8:47,8:49,,Hydrolysis,51,Fate2,48,900,A,26
S5,C7,15,GBTFate2HT48_B,4/22/2019,8:15,200 mL,0.2,8:47,8:49,,Hydrolysis,51,Fate2,48,900,B,26
S5,C7,15,GBTFate2HT48_C,4/22/2019,8:15,200 mL,0.2,8:47,8:49,,Hydrolysis,51,Fate2,48,900,C,26
S5,C7,15,GBTFate2NutsT48_A,4/22/2019,8:15,~40 mL,0.04,8:41,8:46,,Nuts,51,Fate2,48,900,A,26
S5,C7,15,GBTFate2NutsT48_B,4/22/2019,8:15,~40 mL,0.04,8:41,8:46,,Nuts,51,Fate2,48,900,B,26
S5,C7,15,GBTFate2NutsT48_C,4/22/2019,8:15,~40 mL,0.04,8:41,8:46,,Nuts,51,Fate2,48,900,C,26
S5,C7,15,GBTFate2FCMT48_A,4/22/2019,8:15,2 mL,0.002,8:40,,,FCM,51,Fate2,48,900,A,26
S5,C7,15,GBTFate2FCMT48_B,4/22/2019,8:15,2 mL,0.002,8:40,,,FCM,51,Fate2,48,900,B,26
S5,C7,15,GBTFate2FCMT48_C,4/22/2019,8:15,2 mL,0.002,8:40,,,FCM,51,Fate2,48,900,C,26
S5,C7,15,GBTFate2C/NT48_A,4/22/2019,8:15,3L,3,8:36,13:55,,C/N,51,Fate2,48,900,A,26
S5,C7,15,GBTFate2C/NT48_B,4/22/2019,8:15,3.1L,3.1,8:36,13:55,,C/N,51,Fate2,48,900,B,26
S5,C7,15,GBTFate2-16S/18ST48_A,4/22/2019,9:30,1L,1,,,,16S/18S,51,Fate2,48,900,A,26
S5,C7,15,GBTFate2-16S/18ST48_B,4/22/2019,9:30,1L,1,,,,16S/18S,51,Fate2,48,900,B,26
S5,C7,15,GBTFate2-16S/18ST48_C,4/22/2019,9:30,1L,1,,,,16S/18S,51,Fate2,48,900,C,26
S5,C7,15,GBTFate2MTlong_A,4/24/2019,9:30,2L,2,9:45,10:37,6:22 (from 4/20/19),Metab,100,Fate2,96,1000,A,49
S5,C7,15,GBTFate2MTlong_B,4/24/2019,9:30,2L,2,9:45,10:21,6:26 (from 4/20/19),Metab,100,Fate2,96,1000,B,49
S5,C7,15,GBTFate2MTlong_C,4/24/2019,9:30,2L,2,9:45,10:37,6:31 (from 4/20/19),Metab,100,Fate2,96,1000,C,49
S5,C7,15,GBTFate2HTlong_A,4/24/2019,9:30,200 mL,0.2,9:43,9:44,,Hydrolysis,100,Fate2,96,1000,A,49
S5,C7,15,GBTFate2HTlong_B,4/24/2019,9:30,200 mL,0.2,9:43,9:44,,Hydrolysis,100,Fate2,96,1000,B,49
S5,C7,15,GBTFate2HTlong_C,4/24/2019,9:30,200 mL,0.2,9:43,9:44,,Hydrolysis,100,Fate2,96,1000,C,49
S5,C7,15,GBTFate2NutsTlong_A,4/24/2019,9:30,45 mL,0.045,9:36,9:42,,Nuts,100,Fate2,96,1000,A,49
S5,C7,15,GBTFate2NutsTlong_B,4/24/2019,9:30,45 mL,0.045,9:36,9:42,,Nuts,100,Fate2,96,1000,B,49
S5,C7,15,GBTFate2NutsTlong_C,4/24/2019,9:30,45 mL,0.045,9:36,9:42,,Nuts,100,Fate2,96,1000,C,49
