Compound.and.Iso.name,iso.mz,RT..min.,z,Column,Compound.Name,Emperical.Formula,m.z,C,N,this.N,possibilities,names.isotopes,X,Compound.Type,Compound.Name_old,Compound.Name_figure,QE.LinRange,QE.RF.ratio,QE.RSD,TQS.LinRange,TQS.RF.ratio,TQS.RSD,ionization_form,C0,Fraction1,Fraction2,Conc..uM,HILICMix,Date.added,CHEBI,KEGGNAME
(S)-3-Hydroxybutyryl-CoA_13C-5 15N-0,857.160944,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-5 15N-0,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
(S)-3-Hydroxybutyryl-CoA_13C-5 15N-1,858.15798,11.545,-1,HILIC,(S)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,852.144174,25,N7,7,208,13C-5 15N-1,226,Co-enzyme A,Hydroxybutyryl CoA,Hydroxybutyryl CoA,100 - >10000,0.622,20.4,20 - >10000,1.021,22.2,[M-H],cpd:C01144,HILICNeg,NA,4,Mix1,160401,CHEBI:15453,(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA
Acetoacetyl-CoA_13C-0 15N-0,850.128524,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-0 15N-0,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetoacetyl-CoA_13C-0 15N-1,851.12556,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-0 15N-1,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetoacetyl-CoA_13C-1 15N-0,851.131878,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-1 15N-0,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetoacetyl-CoA_13C-1 15N-1,852.128914,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-1 15N-1,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetoacetyl-CoA_13C-2 15N-0,852.135232,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-2 15N-0,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetoacetyl-CoA_13C-2 15N-1,853.132268,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-2 15N-1,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetoacetyl-CoA_13C-3 15N-0,853.138586,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-3 15N-0,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetoacetyl-CoA_13C-3 15N-1,854.135622,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-3 15N-1,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetoacetyl-CoA_13C-4 15N-0,854.14194,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-4 15N-0,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetoacetyl-CoA_13C-4 15N-1,855.138976,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-4 15N-1,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetoacetyl-CoA_13C-5 15N-0,855.145294,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-5 15N-0,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetoacetyl-CoA_13C-5 15N-1,856.14233,10.6,-1,HILIC,Acetoacetyl-CoA,C25H40N7O18P3S,850.128524,25,N7,7,208,13C-5 15N-1,141,Co-enzyme A,Acetoacetyl CoA,Acetoacetyl CoA,100 - >10000,dl,dl,100 - >10000,0.055,69.1,[M-H],cpd:C00332,HILICNeg,NA,4,Mix1,160401,CHEBI:15345,Acetoacetyl-CoA; Acetoacetyl coenzyme A; 3-Acetoacetyl-CoA
Acetyl-CoA_13C-0 15N-0,808.117959,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-0 15N-0,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Acetyl-CoA_13C-0 15N-1,809.114995,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-0 15N-1,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Acetyl-CoA_13C-1 15N-0,809.121313,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-1 15N-0,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Acetyl-CoA_13C-1 15N-1,810.118349,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-1 15N-1,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Acetyl-CoA_13C-2 15N-0,810.124667,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-2 15N-0,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Acetyl-CoA_13C-2 15N-1,811.121703,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-2 15N-1,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Acetyl-CoA_13C-3 15N-0,811.128021,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-3 15N-0,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Acetyl-CoA_13C-3 15N-1,812.125057,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-3 15N-1,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Acetyl-CoA_13C-4 15N-0,812.131375,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-4 15N-0,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Acetyl-CoA_13C-4 15N-1,813.128411,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-4 15N-1,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Acetyl-CoA_13C-5 15N-0,813.134729,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-5 15N-0,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Acetyl-CoA_13C-5 15N-1,814.131765,10.84,-1,HILIC,Acetyl-CoA,C23H38N7O17P3S,808.117959,23,N7,7,192,13C-5 15N-1,142,Co-enzyme A,Acetyl CoA,Acetyl-CoA,20 - >10000,0.692,17.5,<10 - >10000,0.955,17.6,[M-H],cpd:C00024,HILICNeg,NA,4,Mix1,160401,CHEBI:15351,Acetyl-CoA; Acetyl coenzyme A
Crotonoyl-CoA_13C-0 15N-0,834.133609,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-0 15N-0,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
Crotonoyl-CoA_13C-0 15N-1,835.130645,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-0 15N-1,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
Crotonoyl-CoA_13C-1 15N-0,835.136963,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-1 15N-0,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
Crotonoyl-CoA_13C-1 15N-1,836.133999,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-1 15N-1,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
Crotonoyl-CoA_13C-2 15N-0,836.140317,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-2 15N-0,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
Crotonoyl-CoA_13C-2 15N-1,837.137353,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-2 15N-1,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
Crotonoyl-CoA_13C-3 15N-0,837.143671,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-3 15N-0,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
Crotonoyl-CoA_13C-3 15N-1,838.140707,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-3 15N-1,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
Crotonoyl-CoA_13C-4 15N-0,838.147025,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-4 15N-0,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
Crotonoyl-CoA_13C-4 15N-1,839.144061,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-4 15N-1,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
Crotonoyl-CoA_13C-5 15N-0,839.150379,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-5 15N-0,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
Crotonoyl-CoA_13C-5 15N-1,840.147415,8.45,-1,HILIC,Crotonoyl-CoA,C25H40N7O17P3S,834.133609,25,N7,7,208,13C-5 15N-1,173,Co-enzyme A,Crotonyl CoA,Crotonoyl-CoA,100 - >10000,0.444,19.8,100 - >10000,0.761,16.8,[M-H],cpd:C00877,HILICNeg,NA,4,Mix1,160401,CHEBI:15473,Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA
D-Methylmalonyl-CoA_13C-0 15N-0,866.123439,13.18,-1,HILIC,D-Methylmalonyl-CoA,C25H40N7O19P3S,866.123439,25,N7,7,208,13C-0 15N-0,254,Co-enzyme A,Methyl Malonyl CoA,Methylmalonyl CoA,100 - >10000,0.625,17.5,20 - >10000,0.759,8.5,[M-H],cpd:C00683,HILICNeg,NA,4,Mix1,160401,CHEBI:15466,(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA
D-Methylmalonyl-CoA_13C-0 15N-1,867.120475,13.18,-1,HILIC,D-Methylmalonyl-CoA,C25H40N7O19P3S,866.123439,25,N7,7,208,13C-0 15N-1,254,Co-enzyme A,Methyl Malonyl CoA,Methylmalonyl CoA,100 - >10000,0.625,17.5,20 - >10000,0.759,8.5,[M-H],cpd:C00683,HILICNeg,NA,4,Mix1,160401,CHEBI:15466,(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA
D-Methylmalonyl-CoA_13C-1 15N-0,867.126793,13.18,-1,HILIC,D-Methylmalonyl-CoA,C25H40N7O19P3S,866.123439,25,N7,7,208,13C-1 15N-0,254,Co-enzyme A,Methyl Malonyl CoA,Methylmalonyl CoA,100 - >10000,0.625,17.5,20 - >10000,0.759,8.5,[M-H],cpd:C00683,HILICNeg,NA,4,Mix1,160401,CHEBI:15466,(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA
D-Methylmalonyl-CoA_13C-1 15N-1,868.123829,13.18,-1,HILIC,D-Methylmalonyl-CoA,C25H40N7O19P3S,866.123439,25,N7,7,208,13C-1 15N-1,254,Co-enzyme A,Methyl Malonyl CoA,Methylmalonyl CoA,100 - >10000,0.625,17.5,20 - >10000,0.759,8.5,[M-H],cpd:C00683,HILICNeg,NA,4,Mix1,160401,CHEBI:15466,(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA
D-Methylmalonyl-CoA_13C-2 15N-0,868.130147,13.18,-1,HILIC,D-Methylmalonyl-CoA,C25H40N7O19P3S,866.123439,25,N7,7,208,13C-2 15N-0,254,Co-enzyme A,Methyl Malonyl CoA,Methylmalonyl CoA,100 - >10000,0.625,17.5,20 - >10000,0.759,8.5,[M-H],cpd:C00683,HILICNeg,NA,4,Mix1,160401,CHEBI:15466,(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA
D-Methylmalonyl-CoA_13C-2 15N-1,869.127183,13.18,-1,HILIC,D-Methylmalonyl-CoA,C25H40N7O19P3S,866.123439,25,N7,7,208,13C-2 15N-1,254,Co-enzyme A,Methyl Malonyl CoA,Methylmalonyl CoA,100 - >10000,0.625,17.5,20 - >10000,0.759,8.5,[M-H],cpd:C00683,HILICNeg,NA,4,Mix1,160401,CHEBI:15466,(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA
