Experiment,Timepoint,replicate,type,Protein Name,all.area,Conc.All.uM.in.vial,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,SampID,ionization,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT..min.,Column,Blk.Max.Area,Area.less.blk,Area.filled.w.background,MID,Conc.uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample,total.GBT.nM.in.sample,total.GBT.nM.in.sample.sd,GBT.nM.sd
Fate1,12,C,Smp,Butyrylcarnitine,128422,1.7218130276083917e-4,200612_Smp_GBTFate1MT12-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,146788,0,36416,CyanoAq,0,0,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,146788,232.154884,1.34,RP,24174,122614,122614,0.9547741041254614,1.6439424909063505e-4,1930,2,12.5,3.5,4.063606645188377e-5,NA,NA,NA
Fate1,12,C,Smp,Butyrylcarnitine,128422,1.7218130276083917e-4,200612_Smp_GBTFate1MT12-pos_C,Butyrylcarnitine_13C-1 15N-0,1.37,7871,0,4456,CyanoAq,0,1,200612,GBTFate1MT12,pos,ok,ok,ok,ok,all ok,7871,233.158238,1.34,RP,2063,5808,5808,0.04522589587453863,7.787053670204123e-6,1930,2,12.5,3.5,1.92485583989219e-6,NA,NA,NA
Fate1,36,A,Smp,Butyrylcarnitine,403215,5.449912485022481e-4,200612_Smp_GBTFate1MT36-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,402066,0,124000,CyanoAq,0,0,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,402066,232.154884,1.34,RP,24174,377892,377892,0.9371972768870206,5.107643140235645e-4,1900,2,36,23.5,1.262541282357715e-4,NA,NA,NA
Fate1,36,A,Smp,Butyrylcarnitine,403215,5.449912485022481e-4,200612_Smp_GBTFate1MT36-pos_A,Butyrylcarnitine_13C-1 15N-0,1.37,27386,0,10320,CyanoAq,0,1,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,27386,233.158238,1.34,RP,2063,25323,25323,0.06280272311297942,3.4226934478683644e-5,1900,2,36,23.5,8.460441844004215e-6,NA,NA,NA
Fate1,36,B,Smp,Butyrylcarnitine,216956,2.6967938906566406e-4,200612_Smp_GBTFate1MT36-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,232815,0,58023,CyanoAq,0,0,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,232815,232.154884,1.34,RP,24174,208641,208641,0.9616742565312782,2.593437259815318e-4,1900,2,36,23.5,6.410631114628824e-5,NA,NA,NA
Fate1,36,B,Smp,Butyrylcarnitine,216956,2.6967938906566406e-4,200612_Smp_GBTFate1MT36-pos_B,Butyrylcarnitine_13C-1 15N-0,1.38,10378,0,6052,CyanoAq,0,1,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,10378,233.158238,1.34,RP,2063,8315,8315,0.038325743468721765,1.0335663084132251e-5,1900,2,36,23.5,2.5548381055563708e-6,NA,NA,NA
Fate1,36,C,Smp,Butyrylcarnitine,328708,4.585508432836249e-4,200612_Smp_GBTFate1MT36-pos_C,Butyrylcarnitine_13C-0 15N-0,1.36,335343,0,87906,CyanoAq,0,0,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,335343,232.154884,1.34,RP,24174,311169,311169,0.9466426128965526,4.3408376843192826e-4,1900,2,36,23.5,1.0729971977279359e-4,NA,NA,NA
Fate1,36,C,Smp,Butyrylcarnitine,328708,4.585508432836249e-4,200612_Smp_GBTFate1MT36-pos_C,Butyrylcarnitine_13C-1 15N-0,1.36,19602,0,6435,CyanoAq,0,1,200612,GBTFate1MT36,pos,ok,ok,ok,ok,all ok,19602,233.158238,1.34,RP,2063,17539,17539,0.05335738710344744,2.4467074851696633e-5,1900,2,36,23.5,6.047934675674718e-6,NA,NA,NA
Fate1,4,A,Smp,Butyrylcarnitine,202899,3.3307631605327065e-4,200612_Smp_GBTFate1MT4-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,214094,8100,61530,CyanoAq,0,0,200612,GBTFate1MT4,pos,ok,ok,ok,ok,all ok,214094,232.154884,1.34,RP,24174,189920,189920,0.9360322130715282,3.117701612370547e-4,1200,2,4.5,4.25,7.706542692231676e-5,NA,NA,NA
Fate1,4,A,Smp,Butyrylcarnitine,202899,3.3307631605327065e-4,200612_Smp_GBTFate1MT4-pos_A,Butyrylcarnitine_13C-1 15N-0,1.36,15042,0,7319,CyanoAq,0,1,200612,GBTFate1MT4,pos,ok,ok,ok,ok,all ok,15042,233.158238,1.34,RP,2063,12979,12979,0.0639677869284718,2.1306154816215947e-5,1200,2,4.5,4.25,5.266597388504366e-6,NA,NA,NA
Fate1,4,B,Smp,Butyrylcarnitine,245416,3.4759240158258416e-4,200612_Smp_GBTFate1MT4-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,253220,0,62140,CyanoAq,0,0,200612,GBTFate1MT4,pos,ok,ok,ok,ok,all ok,253220,232.154884,1.34,RP,24174,229046,229046,0.9332969325553346,3.2440692217656787e-4,1200,2,4.5,4.25,8.018906573641856e-5,NA,NA,NA
Fate1,4,B,Smp,Butyrylcarnitine,245416,3.4759240158258416e-4,200612_Smp_GBTFate1MT4-pos_B,Butyrylcarnitine_13C-1 15N-0,1.38,18433,0,8421,CyanoAq,0,1,200612,GBTFate1MT4,pos,ok,ok,ok,ok,all ok,18433,233.158238,1.34,RP,2063,16370,16370,0.06670306744466538,2.3185479406016325e-5,1200,2,4.5,4.25,5.731141369441822e-6,NA,NA,NA
Fate1,4,C,Smp,Butyrylcarnitine,169952,0.00028969418388117483,200612_Smp_GBTFate1MT4-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,194126,0,49441,CyanoAq,0,0,200612,GBTFate1MT4,pos,ok,ok,ok,ok,all ok,194126,232.154884,1.34,RP,24174,169952,169952,1,0.00028969418388117483,1200,2,4.5,4.25,7.1608539666308e-5,NA,NA,NA
Fate1,4,C,Smp,Butyrylcarnitine,169952,0.00028969418388117483,200612_Smp_GBTFate1MT4-pos_C,Butyrylcarnitine_13C-1 15N-0,1.36,NA,0,2535,CyanoAq,0,1,200612,GBTFate1MT4,pos,comparable to blank,ok,ok,ok,something is wrong,2311,233.158238,1.34,RP,2063,NA,0,0,0,1200,2,4.5,4.25,0,NA,NA,NA
Fate1,50,A,Smp,Butyrylcarnitine,376502,5.431546772879087e-4,200612_Smp_GBTFate1MT50-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,383660,0,111038,CyanoAq,0,0,200612,GBTFate1MT50,pos,ok,ok,ok,ok,all ok,383660,232.154884,1.34,RP,24174,359486,359486,0.954805020956064,5.186068130302658e-4,900,2,50,14,1.2819268942357466e-4,NA,NA,NA
Fate1,50,A,Smp,Butyrylcarnitine,376502,5.431546772879087e-4,200612_Smp_GBTFate1MT50-pos_A,Butyrylcarnitine_13C-1 15N-0,1.38,19079,0,7593,CyanoAq,0,1,200612,GBTFate1MT50,pos,ok,ok,ok,ok,all ok,19079,233.158238,1.34,RP,2063,17016,17016,0.045194979043936025,2.454786425764287e-5,900,2,50,14,6.067904739632549e-6,NA,NA,NA
Fate1,50,B,Smp,Butyrylcarnitine,384635,5.145793886775772e-4,200612_Smp_GBTFate1MT50-pos_B,Butyrylcarnitine_13C-0 15N-0,1.36,389059,0,109173,CyanoAq,0,0,200612,GBTFate1MT50,pos,ok,ok,ok,ok,all ok,389059,232.154884,1.34,RP,24174,364885,364885,0.9486526187164455,4.8815708460649127e-4,900,2,50,14,1.2066592255359657e-4,NA,NA,NA
Fate1,50,B,Smp,Butyrylcarnitine,384635,5.145793886775772e-4,200612_Smp_GBTFate1MT50-pos_B,Butyrylcarnitine_13C-1 15N-0,1.38,21813,0,8971,CyanoAq,0,1,200612,GBTFate1MT50,pos,ok,ok,ok,ok,all ok,21813,233.158238,1.34,RP,2063,19750,19750,0.05134738128355454,2.6422304071085967e-5,900,2,50,14,6.531241268984838e-6,NA,NA,NA
Fate1,50,C,Smp,Butyrylcarnitine,266267,4.4117050675121316e-4,200612_Smp_GBTFate1MT50-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,273098,0,80711,CyanoAq,0,0,200612,GBTFate1MT50,pos,ok,ok,ok,ok,all ok,273098,232.154884,1.34,RP,24174,248924,248924,0.9348661306132566,4.1243536458719627e-4,900,2,50,14,1.0194852298776043e-4,NA,NA,NA
Fate1,50,C,Smp,Butyrylcarnitine,266267,4.4117050675121316e-4,200612_Smp_GBTFate1MT50-pos_C,Butyrylcarnitine_13C-1 15N-0,1.36,19406,0,8032,CyanoAq,0,1,200612,GBTFate1MT50,pos,ok,ok,ok,ok,all ok,19406,233.158238,1.34,RP,2063,17343,17343,0.06513386938674338,2.873514216401691e-5,900,2,50,14,7.102944007716127e-6,NA,NA,NA
Fate1,8,A,Smp,Butyrylcarnitine,120949,1.8717527561158033e-4,200612_Smp_GBTFate1MT8-pos_A,Butyrylcarnitine_13C-0 15N-0,1.38,142834,0,41384,CyanoAq,0,0,200612,GBTFate1MT8,pos,ok,ok,ok,ok,all ok,142834,232.154884,1.34,RP,24174,118660,118660,0.9810746678352033,1.836329213475938e-4,1600,2,9,4.5,4.539160971817389e-5,NA,NA,NA
Fate1,8,A,Smp,Butyrylcarnitine,120949,1.8717527561158033e-4,200612_Smp_GBTFate1MT8-pos_A,Butyrylcarnitine_13C-1 15N-0,1.4,4352,0,2191,CyanoAq,0,1,200612,GBTFate1MT8,pos,ok,ok,ok,ok,all ok,4352,233.158238,1.34,RP,2063,2289,2289,0.01892533216479673,3.5423542639865346e-6,1600,2,9,4.5,8.756227426672849e-7,NA,NA,NA
Fate1,8,B,Smp,Butyrylcarnitine,316221,4.6995387212635606e-4,200612_Smp_GBTFate1MT8-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,325764,0,95669,CyanoAq,0,0,200612,GBTFate1MT8,pos,ok,ok,ok,ok,all ok,325764,232.154884,1.34,RP,24174,301590,301590,0.9537317255969717,4.4820991741404814e-4,1600,2,9,4.5,1.1079151545252051e-4,NA,NA,NA
Fate1,8,B,Smp,Butyrylcarnitine,316221,4.6995387212635606e-4,200612_Smp_GBTFate1MT8-pos_B,Butyrylcarnitine_13C-1 15N-0,1.37,16694,0,11312,CyanoAq,0,1,200612,GBTFate1MT8,pos,ok,ok,ok,ok,all ok,16694,233.158238,1.34,RP,2063,14631,14631,0.04626827440302826,2.1743954712307896e-5,1600,2,9,4.5,5.374815685486348e-6,NA,NA,NA
Fate1,8,C,Smp,Butyrylcarnitine,205471,3.6348834604223e-4,200612_Smp_GBTFate1MT8-pos_C,Butyrylcarnitine_13C-0 15N-0,1.38,215685,0,52167,CyanoAq,0,0,200612,GBTFate1MT8,pos,ok,ok,ok,ok,all ok,215685,232.154884,1.34,RP,24174,191511,191511,0.9320585386745575,3.3879241663735274e-4,1600,2,9,4.5,8.374496816053178e-5,NA,NA,NA
Fate1,8,C,Smp,Butyrylcarnitine,205471,3.6348834604223e-4,200612_Smp_GBTFate1MT8-pos_C,Butyrylcarnitine_13C-1 15N-0,1.35,16023,0,6507,CyanoAq,0,1,200612,GBTFate1MT8,pos,ok,ok,ok,ok,all ok,16023,233.158238,1.34,RP,2063,13960,13960,0.06794146132544251,2.4695929404877237e-5,1600,2,9,4.5,6.104504469826922e-6,NA,NA,NA
Fate1,96,A,Smp,Butyrylcarnitine,1511598,0.0022689430020279,200612_Smp_GBTFate1MTlong-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,1430017,0,474018,CyanoAq,0,0,200612,GBTFate1MTlong,pos,ok,ok,ok,ok,all ok,1430017,232.154884,1.34,RP,24174,1405843,1405843,0.9300376158211376,0.0021102023400400827,800,1.9,98,48,0.00054906724465969255,NA,NA,NA
Fate1,96,A,Smp,Butyrylcarnitine,1511598,0.0022689430020279,200612_Smp_GBTFate1MTlong-pos_A,Butyrylcarnitine_13C-1 15N-0,1.38,107818,0,37311,CyanoAq,0,1,200612,GBTFate1MTlong,pos,ok,ok,ok,ok,all ok,107818,233.158238,1.34,RP,2063,105755,105755,0.06996238417886237,1.5874066198781723e-4,800,1.9,98,48,4.1303763264451135e-5,NA,NA,NA
Fate1,96,B,Smp,Butyrylcarnitine,1475476,0.0022626651696837953,200612_Smp_GBTFate1MTlong-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,1378710,2541,476330,CyanoAq,0,0,200612,GBTFate1MTlong,pos,ok,ok,ok,ok,all ok,1378710,232.154884,1.34,RP,24174,1354536,1354536,0.9180332313097603,0.002077201817096862,800,1.8,98,48,5.705073257356848e-4,NA,NA,NA
Fate1,96,B,Smp,Butyrylcarnitine,1475476,0.0022626651696837953,200612_Smp_GBTFate1MTlong-pos_B,Butyrylcarnitine_13C-1 15N-0,1.38,123003,0,31676,CyanoAq,0,1,200612,GBTFate1MTlong,pos,ok,ok,ok,ok,all ok,123003,233.158238,1.34,RP,2063,120940,120940,0.08196676869023962,1.8546335258693344e-4,800,1.8,98,48,5.093785323865421e-5,NA,NA,NA
Fate1,96,C,Smp,Butyrylcarnitine,1915589,0.0027349328588593936,200612_Smp_GBTFate1MTlong-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,1797399,0,548033,CyanoAq,0,0,200612,GBTFate1MTlong,pos,ok,ok,ok,ok,all ok,1797399,232.154884,1.34,RP,24174,1773225,1773225,0.9256813439626141,0.0025316763244364777,800,2,98,48,6.257966317163715e-4,NA,NA,NA
Fate1,96,C,Smp,Butyrylcarnitine,1915589,0.0027349328588593936,200612_Smp_GBTFate1MTlong-pos_C,Butyrylcarnitine_13C-1 15N-0,1.37,144427,0,36809,CyanoAq,0,1,200612,GBTFate1MTlong,pos,ok,ok,ok,ok,all ok,144427,233.158238,1.34,RP,2063,142364,142364,0.0743186560373859,2.0325653442291575e-4,800,2,98,48,5.024230522221913e-5,NA,NA,NA
Fate2,0,A,Smp,Butyrylcarnitine,96865,1.922531103706046e-4,200612_Smp_GBTFate2MT0-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,118134,0,31642,CyanoAq,0,0,200612,GBTFate2MT0,pos,ok,ok,ok,ok,all ok,118134,232.154884,1.34,RP,24174,93960,93960,0.9700098074639962,1.8648740257494456e-4,700,2,0.3,0,4.60971994178253e-5,NA,NA,NA
Fate2,0,A,Smp,Butyrylcarnitine,96865,1.922531103706046e-4,200612_Smp_GBTFate2MT0-pos_A,Butyrylcarnitine_13C-1 15N-0,1.39,4968,0,2241,CyanoAq,0,1,200612,GBTFate2MT0,pos,ok,ok,ok,ok,all ok,4968,233.158238,1.34,RP,2063,2905,2905,0.029990192536003716,5.765707795660004e-6,700,2,0.3,0,1.425206090983211e-6,NA,NA,NA
Fate2,0,B,Smp,Butyrylcarnitine,135117,1.892077820713184e-4,200612_Smp_GBTFate2MT0-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,159291,0,26691,CyanoAq,0,0,200612,GBTFate2MT0,pos,ok,ok,ok,ok,all ok,159291,232.154884,1.34,RP,24174,135117,135117,1,1.892077820713184e-4,700,2,0.3,0,4.676964095760229e-5,NA,NA,NA
Fate2,0,B,Smp,Butyrylcarnitine,135117,1.892077820713184e-4,200612_Smp_GBTFate2MT0-pos_B,Butyrylcarnitine_13C-1 15N-0,1.34,NA,0,3245,CyanoAq,0,1,200612,GBTFate2MT0,pos,comparable to blank,ok,ok,ok,something is wrong,3679,233.158238,1.34,RP,2063,NA,0,0,0,700,2,0.3,0,0,NA,NA,NA
Fate2,0,C,Smp,Butyrylcarnitine,83945,1.371650963662326e-4,200612_Smp_GBTFate2MT0-pos_C,Butyrylcarnitine_13C-0 15N-0,1.33,108119,0,24037,CyanoAq,0,0,200612,GBTFate2MT0,pos,ok,ok,ok,ok,all ok,108119,232.154884,1.34,RP,24174,83945,83945,1,1.371650963662326e-4,700,2,0.3,0,3.3905382953781155e-5,NA,NA,NA
Fate2,0,C,Smp,Butyrylcarnitine,83945,1.371650963662326e-4,200612_Smp_GBTFate2MT0-pos_C,Butyrylcarnitine_13C-1 15N-0,1.17,NA,0,0,CyanoAq,0,1,200612,GBTFate2MT0,pos,comparable to blank,NA,too small,ok,something is wrong,0,233.158238,1.34,RP,2063,NA,0,0,0,700,2,0.3,0,0,NA,NA,NA
Fate2,12,A,Smp,Butyrylcarnitine,71164,1.2389755449542664e-4,200612_Smp_GBTFate2MT12-pos_A,Butyrylcarnitine_13C-0 15N-0,1.35,95338,0,25351,CyanoAq,0,0,200612,GBTFate2MT12,pos,ok,ok,ok,ok,all ok,95338,232.154884,1.34,RP,24174,71164,71164,1,1.2389755449542664e-4,1900,2,13,7,3.0625823503876194e-5,NA,NA,NA
Fate2,12,A,Smp,Butyrylcarnitine,71164,1.2389755449542664e-4,200612_Smp_GBTFate2MT12-pos_A,Butyrylcarnitine_13C-1 15N-0,1.36,NA,0,4508,CyanoAq,0,1,200612,GBTFate2MT12,pos,comparable to blank,ok,ok,ok,something is wrong,3021,233.158238,1.34,RP,2063,NA,0,0,0,1900,2,13,7,0,NA,NA,NA
Fate2,12,B,Smp,Butyrylcarnitine,86856,1.1608174876562409e-4,200612_Smp_GBTFate2MT12-pos_B,Butyrylcarnitine_13C-0 15N-0,1.34,107036,0,21936,CyanoAq,0,0,200612,GBTFate2MT12,pos,ok,ok,ok,ok,all ok,107036,232.154884,1.34,RP,24174,82862,82862,0.9540158423137146,1.1074382732588587e-4,1900,2,13,7,2.7374397530594644e-5,NA,NA,NA
Fate2,12,B,Smp,Butyrylcarnitine,86856,1.1608174876562409e-4,200612_Smp_GBTFate2MT12-pos_B,Butyrylcarnitine_13C-1 15N-0,1.33,6057,0,6012,CyanoAq,0,1,200612,GBTFate2MT12,pos,ok,ok,ok,ok,all ok,6057,233.158238,1.34,RP,2063,3994,3994,0.045984157686285346,5.337921439738218e-6,1900,2,13,7,1.3194630076174243e-6,NA,NA,NA
Fate2,12,C,Smp,Butyrylcarnitine,110804,1.652828971691558e-4,200612_Smp_GBTFate2MT12-pos_C,Butyrylcarnitine_13C-0 15N-0,1.34,131832,0,30168,CyanoAq,0,0,200612,GBTFate2MT12,pos,ok,ok,ok,ok,all ok,131832,232.154884,1.34,RP,24174,107658,107658,0.9716075231941085,1.6059010634486998e-4,1900,2,13,7,3.9695733087033927e-5,NA,NA,NA
Fate2,12,C,Smp,Butyrylcarnitine,110804,1.652828971691558e-4,200612_Smp_GBTFate2MT12-pos_C,Butyrylcarnitine_13C-1 15N-0,1.37,5209,0,3362,CyanoAq,0,1,200612,GBTFate2MT12,pos,ok,ok,ok,ok,all ok,5209,233.158238,1.34,RP,2063,3146,3146,0.028392476805891485,4.692790824285803e-6,1900,2,13,7,1.1599953212191268e-6,NA,NA,NA
Fate2,24,A,Smp,Butyrylcarnitine,159815,2.2408177592321131e-4,200612_Smp_GBTFate2MT24-pos_A,Butyrylcarnitine_13C-0 15N-0,1.32,177628,0,41943,CyanoAq,0,0,200612,GBTFate2MT24,pos,ok,ok,ok,ok,all ok,177628,232.154884,1.34,RP,24174,153454,153454,0.9601977286237212,2.1516281226743717e-4,700,2,25,12,5.318537835501357e-5,NA,NA,NA
Fate2,24,A,Smp,Butyrylcarnitine,159815,2.2408177592321131e-4,200612_Smp_GBTFate2MT24-pos_A,Butyrylcarnitine_13C-1 15N-0,1.39,8424,0,4860,CyanoAq,0,1,200612,GBTFate2MT24,pos,ok,ok,ok,ok,all ok,8424,233.158238,1.34,RP,2063,6361,6361,0.03980227137627882,8.918963655774159e-6,700,2,25,12,2.204648896191962e-6,NA,NA,NA
Fate2,24,B,Smp,Butyrylcarnitine,79419,2.0050603100354235e-4,200612_Smp_GBTFate2MT24-pos_B,Butyrylcarnitine_13C-0 15N-0,1.33,103593,0,24869,CyanoAq,0,0,200612,GBTFate2MT24,pos,ok,ok,ok,ok,all ok,103593,232.154884,1.34,RP,24174,79419,79419,1,2.0050603100354235e-4,700,2,25,12,4.956241745032896e-5,NA,NA,NA
Fate2,24,B,Smp,Butyrylcarnitine,79419,2.0050603100354235e-4,200612_Smp_GBTFate2MT24-pos_B,Butyrylcarnitine_13C-1 15N-0,1.34,NA,0,0,CyanoAq,0,1,200612,GBTFate2MT24,pos,comparable to blank,NA,too small,ok,something is wrong,0,233.158238,1.34,RP,2063,NA,0,0,0,700,2,25,12,0,NA,NA,NA
Fate2,24,C,Smp,Butyrylcarnitine,107233,1.9636835887453606e-4,200612_Smp_GBTFate2MT24-pos_C,Butyrylcarnitine_13C-0 15N-0,1.34,131407,0,26256,CyanoAq,0,0,200612,GBTFate2MT24,pos,ok,ok,ok,ok,all ok,131407,232.154884,1.34,RP,24174,107233,107233,1,1.9636835887453606e-4,700,2,25,12,4.853964006900032e-5,NA,NA,NA
Fate2,24,C,Smp,Butyrylcarnitine,107233,1.9636835887453606e-4,200612_Smp_GBTFate2MT24-pos_C,Butyrylcarnitine_13C-1 15N-0,1.47,NA,0,1961,CyanoAq,0,1,200612,GBTFate2MT24,pos,comparable to blank,ok,ok,ok,something is wrong,2295,233.158238,1.34,RP,2063,NA,0,0,0,700,2,25,12,0,NA,NA,NA
Fate2,48,A,Smp,Butyrylcarnitine,261490,4.139271958466983e-4,200612_Smp_GBTFate2MT48-pos_A,Butyrylcarnitine_13C-0 15N-0,1.33,261456,0,74813,CyanoAq,0,0,200612,GBTFate2MT48,pos,ok,ok,ok,ok,all ok,261456,232.154884,1.34,RP,24174,237282,237282,0.9074228459979349,3.7560699409115554e-4,900,2,51,26,9.28450408460791e-5,NA,NA,NA
Fate2,48,A,Smp,Butyrylcarnitine,261490,4.139271958466983e-4,200612_Smp_GBTFate2MT48-pos_A,Butyrylcarnitine_13C-1 15N-0,1.32,26271,0,9288,CyanoAq,0,1,200612,GBTFate2MT48,pos,ok,ok,ok,ok,all ok,26271,233.158238,1.34,RP,2063,24208,24208,0.09257715400206509,3.8320201755542746e-5,900,2,51,26,9.472242937946759e-6,NA,NA,NA
Fate2,48,B,Smp,Butyrylcarnitine,156666,2.138147394112306e-4,200612_Smp_GBTFate2MT48-pos_B,Butyrylcarnitine_13C-0 15N-0,1.32,169329,403,53608,CyanoAq,0,0,200612,GBTFate2MT48,pos,ok,ok,ok,ok,all ok,169329,232.154884,1.34,RP,24174,145155,145155,0.9265252192562522,1.9810474831320884e-4,900,2,51,26,4.896885238638105e-5,NA,NA,NA
Fate2,48,B,Smp,Butyrylcarnitine,156666,2.138147394112306e-4,200612_Smp_GBTFate2MT48-pos_B,Butyrylcarnitine_13C-1 15N-0,1.32,13574,0,5535,CyanoAq,0,1,200612,GBTFate2MT48,pos,ok,ok,ok,ok,all ok,13574,233.158238,1.34,RP,2063,11511,11511,0.07347478074374784,1.570999109802175e-5,900,2,51,26,3.8833003328830036e-6,NA,NA,NA
