Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT..min.,Column,Blk.Max.Area,Area.less.blk
Isethionic acid,200605_Smp_GBTFate1MT12-neg_B,Isethionic acid_13C-0,7.2,90355496,0,3151438,HILICNeg,0,0,200605,Smp,GBTFate1MT12,neg,B,12,Fate1,ok,ok,ok,ok,all ok,90355496,124.990857,7.2,HILIC,3105411,87250085
Isethionic acid,200605_Smp_GBTFate1MT12-neg_C,Isethionic acid_13C-0,6.11,173886608,117193,4159658,HILICNeg,0,0,200605,Smp,GBTFate1MT12,neg,C,12,Fate1,ok,ok,ok,ok,all ok,173886608,124.990857,7.2,HILIC,3105411,170781197
Isethionic acid,200605_Smp_GBTFate1MT36-neg_A,Isethionic acid_13C-0,7.26,238237776,758337,8381861,HILICNeg,0,0,200605,Smp,GBTFate1MT36,neg,A,36,Fate1,ok,ok,ok,ok,all ok,238237776,124.990857,7.2,HILIC,3105411,235132365
Isethionic acid,200605_Smp_GBTFate1MT36-neg_B,Isethionic acid_13C-0,7.22,176217728,0,5394201,HILICNeg,0,0,200605,Smp,GBTFate1MT36,neg,B,36,Fate1,ok,ok,ok,ok,all ok,176217728,124.990857,7.2,HILIC,3105411,173112317
Isethionic acid,200605_Smp_GBTFate1MT36-neg_C,Isethionic acid_13C-0,6.63,304777408,0,8263233,HILICNeg,0,0,200605,Smp,GBTFate1MT36,neg,C,36,Fate1,ok,ok,ok,ok,all ok,304777408,124.990857,7.2,HILIC,3105411,301671997
Isethionic acid,200605_Smp_GBTFate1MT4-neg_A,Isethionic acid_13C-0,7.38,72649776,0,2662039,HILICNeg,0,0,200605,Smp,GBTFate1MT4,neg,A,4,Fate1,ok,ok,ok,ok,all ok,72649776,124.990857,7.2,HILIC,3105411,69544365
Isethionic acid,200605_Smp_GBTFate1MT4-neg_B,Isethionic acid_13C-0,7.3,146012976,0,4884561,HILICNeg,0,0,200605,Smp,GBTFate1MT4,neg,B,4,Fate1,ok,ok,ok,ok,all ok,146012976,124.990857,7.2,HILIC,3105411,142907565
Isethionic acid,200605_Smp_GBTFate1MT4-neg_C,Isethionic acid_13C-0,6.85,104602496,0,3154081,HILICNeg,0,0,200605,Smp,GBTFate1MT4,neg,C,4,Fate1,ok,ok,ok,ok,all ok,104602496,124.990857,7.2,HILIC,3105411,101497085
Isethionic acid,200605_Smp_GBTFate1MT50-neg_A,Isethionic acid_13C-0,6.99,269563968,103042,7932951,HILICNeg,0,0,200605,Smp,GBTFate1MT50,neg,A,50,Fate1,ok,ok,ok,ok,all ok,269563968,124.990857,7.2,HILIC,3105411,266458557
Isethionic acid,200605_Smp_GBTFate1MT50-neg_B,Isethionic acid_13C-0,7.11,255905936,88725,7232942,HILICNeg,0,0,200605,Smp,GBTFate1MT50,neg,B,50,Fate1,ok,ok,ok,ok,all ok,255905936,124.990857,7.2,HILIC,3105411,252800525
Isethionic acid,200605_Smp_GBTFate1MT50-neg_C,Isethionic acid_13C-0,6.47,392111360,2741162,10254854,HILICNeg,0,0,200605,Smp,GBTFate1MT50,neg,C,50,Fate1,ok,ok,ok,ok,all ok,392111360,124.990857,7.2,HILIC,3105411,389005949
Isethionic acid,200605_Smp_GBTFate1MT8-neg_A,Isethionic acid_13C-0,6.31,148082672,0,3852196,HILICNeg,0,0,200605,Smp,GBTFate1MT8,neg,A,8,Fate1,ok,ok,ok,ok,all ok,148082672,124.990857,7.2,HILIC,3105411,144977261
Isethionic acid,200605_Smp_GBTFate1MT8-neg_B,Isethionic acid_13C-0,7.63,72387208,0,2694421,HILICNeg,0,0,200605,Smp,GBTFate1MT8,neg,B,8,Fate1,ok,ok,ok,ok,all ok,72387208,124.990857,7.2,HILIC,3105411,69281797
Isethionic acid,200605_Smp_GBTFate1MT8-neg_C,Isethionic acid_13C-0,7.02,153941872,1536335,4559621,HILICNeg,0,0,200605,Smp,GBTFate1MT8,neg,C,8,Fate1,ok,ok,ok,ok,all ok,153941872,124.990857,7.2,HILIC,3105411,150836461
Isethionic acid,200605_Smp_GBTFate1MTlong-neg_A,Isethionic acid_13C-0,7.14,400849248,1282069,12151738,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,neg,A,96,Fate1,ok,ok,ok,ok,all ok,400849248,124.990857,7.2,HILIC,3105411,397743837
Isethionic acid,200605_Smp_GBTFate1MTlong-neg_B,Isethionic acid_13C-0,7.4,418428448,1239682,12829192,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,neg,B,96,Fate1,ok,ok,ok,ok,all ok,418428448,124.990857,7.2,HILIC,3105411,415323037
Isethionic acid,200605_Smp_GBTFate1MTlong-neg_C,Isethionic acid_13C-0,7.18,565668480,988589,17424130,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,neg,C,96,Fate1,ok,ok,ok,ok,all ok,565668480,124.990857,7.2,HILIC,3105411,562563069
Isethionic acid,200605_Smp_GBTFate2MT0-neg_A,Isethionic acid_13C-0,6.96,71445976,0,2228995,HILICNeg,0,0,200605,Smp,GBTFate2MT0,neg,A,0,Fate2,ok,ok,ok,ok,all ok,71445976,124.990857,7.2,HILIC,3105411,68340565
Isethionic acid,200605_Smp_GBTFate2MT0-neg_B,Isethionic acid_13C-0,7.4,62503276,0,2260260,HILICNeg,0,0,200605,Smp,GBTFate2MT0,neg,B,0,Fate2,ok,ok,ok,ok,all ok,62503276,124.990857,7.2,HILIC,3105411,59397865
Isethionic acid,200605_Smp_GBTFate2MT0-neg_C,Isethionic acid_13C-0,7.02,83928896,0,2776844,HILICNeg,0,0,200605,Smp,GBTFate2MT0,neg,C,0,Fate2,ok,ok,ok,ok,all ok,83928896,124.990857,7.2,HILIC,3105411,80823485
Isethionic acid,200605_Smp_GBTFate2MT12-neg_A,Isethionic acid_13C-0,6.79,134510208,0,4039740,HILICNeg,0,0,200605,Smp,GBTFate2MT12,neg,A,12,Fate2,ok,ok,ok,ok,all ok,134510208,124.990857,7.2,HILIC,3105411,131404797
Isethionic acid,200605_Smp_GBTFate2MT12-neg_B,Isethionic acid_13C-0,6.53,159205376,0,4235995,HILICNeg,0,0,200605,Smp,GBTFate2MT12,neg,B,12,Fate2,ok,ok,ok,ok,all ok,159205376,124.990857,7.2,HILIC,3105411,156099965
Isethionic acid,200605_Smp_GBTFate2MT12-neg_C,Isethionic acid_13C-0,7.37,69473752,0,2721088,HILICNeg,0,0,200605,Smp,GBTFate2MT12,neg,C,12,Fate2,ok,ok,ok,ok,all ok,69473752,124.990857,7.2,HILIC,3105411,66368341
Isethionic acid,200605_Smp_GBTFate2MT24-neg_A,Isethionic acid_13C-0,7.39,66580772,0,2611084,HILICNeg,0,0,200605,Smp,GBTFate2MT24,neg,A,24,Fate2,ok,ok,ok,ok,all ok,66580772,124.990857,7.2,HILIC,3105411,63475361
Isethionic acid,200605_Smp_GBTFate2MT24-neg_B,Isethionic acid_13C-0,6.87,157277744,0,4534587,HILICNeg,0,0,200605,Smp,GBTFate2MT24,neg,B,24,Fate2,ok,ok,ok,ok,all ok,157277744,124.990857,7.2,HILIC,3105411,154172333
Isethionic acid,200605_Smp_GBTFate2MT24-neg_C,Isethionic acid_13C-0,6.35,177841712,0,5081198,HILICNeg,0,0,200605,Smp,GBTFate2MT24,neg,C,24,Fate2,ok,ok,ok,ok,all ok,177841712,124.990857,7.2,HILIC,3105411,174736301
Isethionic acid,200605_Smp_GBTFate2MT48-neg_A,Isethionic acid_13C-0,6.18,231313120,0,6180590,HILICNeg,0,0,200605,Smp,GBTFate2MT48,neg,A,48,Fate2,ok,ok,ok,ok,all ok,231313120,124.990857,7.2,HILIC,3105411,228207709
Isethionic acid,200605_Smp_GBTFate2MT48-neg_B,Isethionic acid_13C-0,6.57,156257008,0,3960969,HILICNeg,0,0,200605,Smp,GBTFate2MT48,neg,B,48,Fate2,ok,ok,ok,ok,all ok,156257008,124.990857,7.2,HILIC,3105411,153151597
Isethionic acid,200605_Smp_GBTFate2MT48-neg_C,Isethionic acid_13C-0,7.44,66781648,0,2679854,HILICNeg,0,0,200605,Smp,GBTFate2MT48,neg,C,48,Fate2,ok,ok,ok,ok,all ok,66781648,124.990857,7.2,HILIC,3105411,63676237
Isethionic acid,200605_Smp_GBTFate2MT5-neg_A,Isethionic acid_13C-0,7.42,53477944,0,2014495,HILICNeg,0,0,200605,Smp,GBTFate2MT5,neg,A,5,Fate2,ok,ok,ok,ok,all ok,53477944,124.990857,7.2,HILIC,3105411,50372533
Isethionic acid,200605_Smp_GBTFate2MT5-neg_B,Isethionic acid_13C-0,6.34,173779712,899727,4833581,HILICNeg,0,0,200605,Smp,GBTFate2MT5,neg,B,5,Fate2,ok,ok,ok,ok,all ok,173779712,124.990857,7.2,HILIC,3105411,170674301
Isethionic acid,200605_Smp_GBTFate2MT5-neg_C,Isethionic acid_13C-0,6.86,101410552,0,3244554,HILICNeg,0,0,200605,Smp,GBTFate2MT5,neg,C,5,Fate2,ok,ok,ok,ok,all ok,101410552,124.990857,7.2,HILIC,3105411,98305141
Isethionic acid,200605_Smp_GBTFate2MTlong-neg_A,Isethionic acid_13C-0,7.1,150064016,0,4844428,HILICNeg,0,0,200605,Smp,GBTFate2MTlong,neg,A,96,Fate2,ok,ok,ok,ok,all ok,150064016,124.990857,7.2,HILIC,3105411,146958605
Isethionic acid,200605_Smp_GBTFate2MTlong-neg_B,Isethionic acid_13C-0,6.44,204161136,698786,5404490,HILICNeg,0,0,200605,Smp,GBTFate2MTlong,neg,B,96,Fate2,ok,ok,ok,ok,all ok,204161136,124.990857,7.2,HILIC,3105411,201055725
Isethionic acid,200605_Smp_GBTFate2MTlong-neg_C,Isethionic acid_13C-0,6.83,187872208,1094165,5114348,HILICNeg,0,0,200605,Smp,GBTFate2MTlong,neg,C,96,Fate2,ok,ok,ok,ok,all ok,187872208,124.990857,7.2,HILIC,3105411,184766797
Isethionic acid,200605_Std_4uMStdsMix1InH2O_1,Isethionic acid_13C-0,9.17,NA,0,32932,HILICNeg,0,0,200605,Std,4uMStdsMix1InH2O,1,NA,NA,StdsM,comparable to blank,ok,ok,bad RT,something is wrong,59823,124.990857,7.2,HILIC,3105411,NA
