Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT..min.,Column,Blk.Max.Area,Area.less.blk,Area.filled.w.background,all.area,MID,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),total.GBT.nM.in.sample,total.GBT.nM.in.sample.sd,GBT.nM,GBT.nM.sd
Glycine betaine,200605_Smp_GBTFate1MT4-pos_B,Glycine betaine_13C-0 15N-0,7.99,1241430016,52909020,72459480,HILICPos,0,0,200605,Smp,GBTFate1MT4,pos,B,4,Fate1,ok,ok,ok,ok,all ok,1241430016,118.086804,7.86,HILIC,17686654,1223743362,1223743362,3258720826,0.37552875110879474,1200,2,4.5,4.25,1.0346583424523355,0.04741362013093432,0.38854395516542123,0.01780517755331658
Glycine betaine,200605_Smp_GBTFate1MT4-pos_C,Glycine betaine_13C-0 15N-0,7.94,1077876608,59421260,63977536,HILICPos,0,0,200605,Smp,GBTFate1MT4,pos,C,4,Fate1,ok,ok,ok,ok,all ok,1077876608,118.086804,7.86,HILIC,17686654,1060189954,1060189954,2487934877,0.42613251809806113,1200,2,4.5,4.25,0.8503859534363009,0.03896926638154336,0.36237710769303144,0.01660607161160119
Glycine betaine,200605_Smp_GBTFate1MT50-pos_A,Glycine betaine_13C-0 15N-0,7.98,1270939008,58534096,78900384,HILICPos,0,0,200605,Smp,GBTFate1MT50,pos,A,50,Fate1,ok,ok,ok,ok,all ok,1270939008,118.086804,7.86,HILIC,17686654,1253252354,1253252354,9019146847,0.13895464562891155,900,2,50,14,2.8746007932837676,0.13172969708802001,0.399439134555334,0.018304453377669682
Glycine betaine,200605_Smp_GBTFate1MT50-pos_B,Glycine betaine_13C-0 15N-0,7.99,733672768,54441096,44302424,HILICPos,0,0,200605,Smp,GBTFate1MT50,pos,B,50,Fate1,ok,ok,ok,ok,all ok,733672768,118.086804,7.86,HILIC,17686654,715986114,715986114,6508570849,0.11000665593277004,900,2,50,14,2.1730518774890673,0.09958094572540185,0.23905017021099978,0.01095456683387413
Glycine betaine,200605_Smp_GBTFate1MT50-pos_C,Glycine betaine_13C-0 15N-0,7.98,963302720,63608168,50756784,HILICPos,0,0,200605,Smp,GBTFate1MT50,pos,C,50,Fate1,ok,ok,ok,ok,all ok,963302720,118.086804,7.86,HILIC,17686654,945616066,945616066,9397733538,0.10062171503122266,900,2,50,14,2.7974322586842186,0.12819341903811637,0.281482431552473,0.012899041679331459
Glycine betaine,200605_Smp_GBTFate1MT8-pos_A,Glycine betaine_13C-0 15N-0,7.96,725723392,59459040,45304720,HILICPos,0,0,200605,Smp,GBTFate1MT8,pos,A,8,Fate1,ok,ok,ok,ok,all ok,725723392,118.086804,7.86,HILIC,17686654,708036738,708036738,2521587362,0.28079008828725244,1600,2,9,4.5,0.8143415700600675,0.03731751852320797,0.2286590413531461,0.010478389320792744
Glycine betaine,200605_Smp_GBTFate1MT8-pos_B,Glycine betaine_13C-0 15N-0,7.99,1026767744,52620912,62178336,HILICPos,0,0,200605,Smp,GBTFate1MT8,pos,B,8,Fate1,ok,ok,ok,ok,all ok,1026767744,118.086804,7.86,HILIC,17686654,1009081090,1009081090,3453940543,0.29215357862632435,1600,2,9,4.5,1.1177663241327487,0.051222075648631266,0.32655943166337453,0.014964712705415929
Glycine betaine,200605_Smp_GBTFate1MT8-pos_C,Glycine betaine_13C-0 15N-0,7.99,1323074176,65789268,78549520,HILICPos,0,0,200605,Smp,GBTFate1MT8,pos,C,8,Fate1,ok,ok,ok,ok,all ok,1323074176,118.086804,7.86,HILIC,17686654,1305387522,1305387522,4061483873,0.3214065506151525,1600,2,9,4.5,1.3297617354890288,0.06093684765706445,0.4273941325435475,0.01958550201081812
Glycine betaine,200605_Smp_GBTFate1MTlong-pos_A,Glycine betaine_13C-0 15N-0,8.02,1260299264,58891588,70270440,HILICPos,0,0,200605,Smp,GBTFate1MTlong,pos,A,96,Fate1,ok,ok,ok,ok,all ok,1260299264,118.086804,7.86,HILIC,17686654,1242612610,1242612610,9850634590,0.1261454374991693,800,1.9,98,48,3.2138423514111882,0.14727557316103954,0.4054115494721233,0.018578141609340248
Glycine betaine,200605_Smp_GBTFate1MTlong-pos_B,Glycine betaine_13C-0 15N-0,8.01,1334500096,57956352,86179720,HILICPos,0,0,200605,Smp,GBTFate1MTlong,pos,B,96,Fate1,ok,ok,ok,ok,all ok,1334500096,118.086804,7.86,HILIC,17686654,1316813442,1316813442,10695325516,0.12312046417194807,800,1.8,98,48,3.9961915849558793,0.18312703044605574,0.4920129628598007,0.022546684990948848
Glycine betaine,200605_Smp_GBTFate1MTlong-pos_C,Glycine betaine_13C-0 15N-0,7.97,1748423168,62983036,99106344,HILICPos,0,0,200605,Smp,GBTFate1MTlong,pos,C,96,Fate1,ok,ok,ok,ok,all ok,1748423168,118.086804,7.86,HILIC,17686654,1730736514,1730736514,14009136281,0.1235434133328637,800,2,98,48,4.5695424208749476,0.20940105504009482,0.5645368680442082,0.025870121095156174
Glycine betaine,200605_Smp_GBTFate2MT0-pos_A,Glycine betaine_13C-0 15N-0,7.98,1492170624,57359792,91223040,HILICPos,0,0,200605,Smp,GBTFate2MT0,pos,A,0,Fate2,ok,ok,ok,ok,all ok,1492170624,118.086804,7.86,HILIC,17686654,1474483970,1474483970,1896092748,0.7776433782341537,700,2,0.3,0,0.6581653957833515,0.030160684719396123,0.5118179618137844,0.02345425675504642
Glycine betaine,200605_Smp_GBTFate2MT0-pos_B,Glycine betaine_13C-0 15N-0,8.01,1479588864,58126112,88474392,HILICPos,0,0,200605,Smp,GBTFate2MT0,pos,B,0,Fate2,ok,ok,ok,ok,all ok,1479588864,118.086804,7.86,HILIC,17686654,1461902210,1461902210,1949568457,0.7498593879845482,700,2,0.3,0,0.6843021363424275,0.03135841100012333,0.5131303811542516,0.023514398880720405
Glycine betaine,200605_Smp_GBTFate2MT0-pos_C,Glycine betaine_13C-0 15N-0,7.96,1052025088,57949688,64388648,HILICPos,0,0,200605,Smp,GBTFate2MT0,pos,C,0,Fate2,ok,ok,ok,ok,all ok,1052025088,118.086804,7.86,HILIC,17686654,1034338434,1034338434,1358236514,0.761530428123949,700,2,0.3,0,0.47435566327627077,0.021737532384101574,0.3612362713377983,0.01655379234282308
Glycine betaine,200605_Smp_GBTFate2MT12-pos_A,Glycine betaine_13C-0 15N-0,7.95,863670272,56729028,48570140,HILICPos,0,0,200605,Smp,GBTFate2MT12,pos,A,12,Fate2,ok,ok,ok,ok,all ok,863670272,118.086804,7.86,HILIC,17686654,845983618,845983618,3866920690,0.21877449418286363,1900,2,13,7,1.2168564699758444,0.05576292004233492,0.2662171587121103,0.01219950462642129
Glycine betaine,200605_Smp_GBTFate2MT12-pos_B,Glycine betaine_13C-0 15N-0,7.96,919094912,56961632,58150036,HILICPos,0,0,200605,Smp,GBTFate2MT12,pos,B,12,Fate2,ok,ok,ok,ok,all ok,919094912,118.086804,7.86,HILIC,17686654,901408258,901408258,4805483349,0.18757910339811687,1900,2,13,7,1.5187788803841433,0.06959863168622438,0.2848911806424534,0.013055248929437737
Glycine betaine,200605_Smp_GBTFate2MT12-pos_C,Glycine betaine_13C-0 15N-0,8.01,864935104,50714876,50171348,HILICPos,0,0,200605,Smp,GBTFate2MT12,pos,C,12,Fate2,ok,ok,ok,ok,all ok,864935104,118.086804,7.86,HILIC,17686654,847248450,847248450,3991647111,0.21225534884213365,1900,2,13,7,1.253344034731659,0.05743497685940425,0.26602897531117553,0.012190881049032721
Glycine betaine,200605_Smp_GBTFate2MT24-pos_A,Glycine betaine_13C-0 15N-0,7.99,698020992,47201632,43102584,HILICPos,0,0,200605,Smp,GBTFate2MT24,pos,A,24,Fate2,ok,ok,ok,ok,all ok,698020992,118.086804,7.86,HILIC,17686654,680334338,680334338,4411979127,0.15420162208759244,700,2,25,12,1.484464650151627,0.0680261687672344,0.22890685698507132,0.010489745568311863
Glycine betaine,200605_Smp_GBTFate2MT24-pos_B,Glycine betaine_13C-0 15N-0,7.99,919280768,60234024,50948280,HILICPos,0,0,200605,Smp,GBTFate2MT24,pos,B,24,Fate2,ok,ok,ok,ok,all ok,919280768,118.086804,7.86,HILIC,17686654,901594114,901594114,6232642520,0.14465679863827646,700,2,25,12,1.9003603435931633,0.08708475034324573,0.2749000435633221,0.012597401194867474
Glycine betaine,200605_Smp_GBTFate2MT24-pos_C,Glycine betaine_13C-0 15N-0,7.99,898662208,59097832,54202492,HILICPos,0,0,200605,Smp,GBTFate2MT24,pos,C,24,Fate2,ok,ok,ok,ok,all ok,898662208,118.086804,7.86,HILIC,17686654,880975554,880975554,5813655157,0.15153557103215023,700,2,25,12,1.8894195807644454,0.0865833856401168,0.28631427509046614,0.013120462784871978
Glycine betaine,200605_Smp_GBTFate2MT48-pos_A,Glycine betaine_13C-0 15N-0,7.94,834427456,61340460,47910476,HILICPos,0,0,200605,Smp,GBTFate2MT48,pos,A,48,Fate2,ok,ok,ok,ok,all ok,834427456,118.086804,7.86,HILIC,17686654,816740802,816740802,5761912670,0.14174820910640423,900,2,51,26,1.780396199417159,0.0815873468739882,0.25236797276723083,0.011564860305130816
Glycine betaine,200605_Smp_GBTFate2MT48-pos_B,Glycine betaine_13C-0 15N-0,7.97,783183936,57000308,44599988,HILICPos,0,0,200605,Smp,GBTFate2MT48,pos,B,48,Fate2,ok,ok,ok,ok,all ok,783183936,118.086804,7.86,HILIC,17686654,765497282,765497282,7017527197,0.10908362169615116,900,2,51,26,2.3208271553496553,0.10635280519025508,0.25316423143631644,0.011601349167698246
Glycine betaine,200605_Smp_GBTFate2MT48-pos_C,Glycine betaine_13C-0 15N-0,7.96,972385536,50365224,54750556,HILICPos,0,0,200605,Smp,GBTFate2MT48,pos,C,48,Fate2,ok,ok,ok,ok,all ok,972385536,118.086804,7.86,HILIC,17686654,954698882,954698882,7415374127,0.12874588195406908,900,2,51,26,2.253467142919579,0.10326600647580719,0.2901246147696974,0.013295073079602406
Glycine betaine,200605_Smp_GBTFate2MT5-pos_A,Glycine betaine_13C-0 15N-0,8.01,552124416,44289432,32669550,HILICPos,0,0,200605,Smp,GBTFate2MT5,pos,A,5,Fate2,ok,ok,ok,ok,all ok,552124416,118.086804,7.86,HILIC,17686654,534437762,534437762,2365046706,0.22597344933787536,1300,2,6,5.75,0.823149447946153,0.03772114294599152,0.18600992007296008,0.00852397678447277
Glycine betaine,200605_Smp_GBTFate2MT5-pos_B,Glycine betaine_13C-0 15N-0,7.93,1003881664,57122636,59445412,HILICPos,0,0,200605,Smp,GBTFate2MT5,pos,B,5,Fate2,ok,ok,ok,ok,all ok,1003881664,118.086804,7.86,HILIC,17686654,986195010,986195010,4361279685,0.22612514702780406,1300,2,6,5.75,1.3939611934709615,0.06387881273720147,0.3152096798246744,0.014444605922161246
Glycine betaine,200605_Smp_GBTFate2MT5-pos_C,Glycine betaine_13C-0 15N-0,7.97,632588864,57170184,38352920,HILICPos,0,0,200605,Smp,GBTFate2MT5,pos,C,5,Fate2,ok,ok,ok,ok,all ok,632588864,118.086804,7.86,HILIC,17686654,614902210,614902210,2867442665,0.21444272190879185,1300,2,6,5.75,0.8580203448942914,0.03931911533328724,0.1839962182122522,0.00843169811511583
Glycine betaine,200605_Smp_GBTFate2MTlong-pos_A,Glycine betaine_13C-0 15N-0,7.96,724222016,55569592,45412372,HILICPos,0,0,200605,Smp,GBTFate2MTlong,pos,A,96,Fate2,ok,ok,ok,ok,all ok,724222016,118.086804,7.86,HILIC,17686654,706535362,706535362,6626422340,0.10662395569552544,1000,2,100,49,2.209071236614829,0.10123154683774656,0.2355399136610791,0.010793707965017397
Glycine betaine,200605_Smp_GBTFate2MTlong-pos_B,Glycine betaine_13C-0 15N-0,7.97,570024512,56360020,33716592,HILICPos,0,0,200605,Smp,GBTFate2MTlong,pos,B,96,Fate2,ok,ok,ok,ok,all ok,570024512,118.086804,7.86,HILIC,17686654,552337858,552337858,6364756511,0.08678067370612098,1000,2,100,49,2.0969638312654117,0.09609418147469986,0.18197593401458104,0.008339117807612704
Glycine betaine,200605_Smp_GBTFate2MTlong-pos_C,Glycine betaine_13C-0 15N-0,8.01,631020096,56055704,34593588,HILICPos,0,0,200605,Smp,GBTFate2MTlong,pos,C,96,Fate2,ok,ok,ok,ok,all ok,631020096,118.086804,7.86,HILIC,17686654,613333442,613333442,6258701003,0.09799692327625321,1000,2,100,49,1.9351222060015731,0.08867772618043818,0.18963602235171004,0.008690144328816991
Glycine betaine,200605_Smp_GBTFate1MT0-pos_A,Glycine betaine_13C-0 15N-1,7.99,2986588,0,196986,HILICPos,1,0,200605,Smp,GBTFate1MT0,pos,A,0,Fate1,ok,ok,ok,ok,all ok,2986588,119.08384,7.86,HILIC,74922,2911666,2911666,1416111462,0.002056099451301525,900,2,0.5,0,0.46883913404280114,0.021484735290814735,9.639798862540854e-4,4.417475244280268e-5
Glycine betaine,200605_Smp_GBTFate1MT0-pos_B,Glycine betaine_13C-0 15N-1,7.96,3424417,26208,226796,HILICPos,1,0,200605,Smp,GBTFate1MT0,pos,B,0,Fate1,ok,ok,ok,ok,all ok,3424417,119.08384,7.86,HILIC,74922,3349495,3349495,1582791441,0.0021161947893045246,900,2,0.5,0,0.5416364454577615,0.02482070034165592,0.0011462082235751392,5.2525436729901296e-5
Glycine betaine,200605_Smp_GBTFate1MT0-pos_C,Glycine betaine_13C-0 15N-1,7.99,5275610,22822,332942,HILICPos,1,0,200605,Smp,GBTFate1MT0,pos,C,0,Fate1,ok,ok,ok,ok,all ok,5275610,119.08384,7.86,HILIC,74922,5200688,5200688,2384071873,0.002181430878363456,900,1.95,0.5,0,0.8268328671124805,0.03788993705895573,0.001803678747564953,8.265427867965386e-5
Glycine betaine,200605_Smp_GBTFate1MT12-pos_A,Glycine betaine_13C-0 15N-1,7.99,2809351,0,204068,HILICPos,1,0,200605,Smp,GBTFate1MT12,pos,A,12,Fate1,ok,ok,ok,ok,all ok,2809351,119.08384,7.86,HILIC,74922,2734429,2734429,4370402808,6.256697883761748e-4,1930,2,12.5,3.5,1.3172142302747538,0.06036185336048296,8.241411487020912e-4,3.776658801804707e-5
Glycine betaine,200605_Smp_GBTFate1MT12-pos_B,Glycine betaine_13C-0 15N-1,7.99,1904486,0,123715,HILICPos,1,0,200605,Smp,GBTFate1MT12,pos,B,12,Fate1,ok,ok,ok,ok,all ok,1904486,119.08384,7.86,HILIC,74922,1829564,1829564,3081739350,5.936790209074626e-4,1930,2,12.5,3.5,1.041704299592832,0.047736503851686554,6.184379886573666e-4,2.834016086821459e-5
Glycine betaine,200605_Smp_GBTFate1MT12-pos_C,Glycine betaine_13C-0 15N-1,7.93,1866985,0,129535,HILICPos,1,0,200605,Smp,GBTFate1MT12,pos,C,12,Fate1,ok,ok,ok,ok,all ok,1866985,119.08384,7.86,HILIC,74922,1792063,1792063,3418932086,5.241587007060543e-4,1930,2,12.5,3.5,1.0876936292472323,0.04984398273320971,5.701240794724821e-4,2.6126157227454208e-5
Glycine betaine,200605_Smp_GBTFate1MT36-pos_A,Glycine betaine_13C-0 15N-1,7.99,2808750,0,199613,HILICPos,1,0,200605,Smp,GBTFate1MT36,pos,A,36,Fate1,ok,ok,ok,ok,all ok,2808750,119.08384,7.86,HILIC,74922,2733828,2733828,8042021606,3.3994288176996974e-4,1900,2,36,23.5,2.603777343824155,0.11931910740022758,8.851355737469406e-4,4.056168121985388e-5
Glycine betaine,200605_Smp_GBTFate1MT36-pos_B,Glycine betaine_13C-0 15N-1,7.97,2579332,0,176817,HILICPos,1,0,200605,Smp,GBTFate1MT36,pos,B,36,Fate1,ok,ok,ok,ok,all ok,2579332,119.08384,7.86,HILIC,74922,2504410,2504410,7951864951,3.1494624411158465e-4,1900,2,36,23.5,2.691209204120955,0.12332570633377299,8.475862309564217e-4,3.8840968012230074e-5
Glycine betaine,200605_Smp_GBTFate1MT36-pos_C,Glycine betaine_13C-0 15N-1,7.96,3325816,0,205872,HILICPos,1,0,200605,Smp,GBTFate1MT36,pos,C,36,Fate1,ok,ok,ok,ok,all ok,3325816,119.08384,7.86,HILIC,74922,3250894,3250894,10312259693,3.1524555206912785e-4,1900,2,36,23.5,3.2427091296512245,0.14859840447812236,0.0010222496297765014,4.684498605629725e-5
Glycine betaine,200605_Smp_GBTFate1MT4-pos_A,Glycine betaine_13C-0 15N-1,8,2094818,0,143279,HILICPos,1,0,200605,Smp,GBTFate1MT4,pos,A,4,Fate1,ok,ok,ok,ok,all ok,2094818,119.08384,7.86,HILIC,74922,2019896,2019896,1887726747,0.0010700150343316611,1200,2,4.5,4.25,0.6318983026278011,0.02895698498034095,6.76140683980405e-4,3.0984409277880914e-5
Glycine betaine,200605_Smp_GBTFate1MT4-pos_B,Glycine betaine_13C-0 15N-1,8.01,3112852,0,211014,HILICPos,1,0,200605,Smp,GBTFate1MT4,pos,B,4,Fate1,ok,ok,ok,ok,all ok,3112852,119.08384,7.86,HILIC,74922,3037930,3037930,3258720826,9.322461671959131e-4,1200,2,4.5,4.25,1.0346583424523355,0.04741362013093432,9.645562741084663e-4,4.4201165639946514e-5
Glycine betaine,200605_Smp_GBTFate1MT4-pos_C,Glycine betaine_13C-0 15N-1,7.94,2666101,0,179498,HILICPos,1,0,200605,Smp,GBTFate1MT4,pos,C,4,Fate1,ok,ok,ok,ok,all ok,2666101,119.08384,7.86,HILIC,74922,2591179,2591179,2487934877,0.0010414979202046052,1200,2,4.5,4.25,0.8503859534363009,0.03896926638154336,8.856752018751176e-4,4.058640988827665e-5
Glycine betaine,200605_Smp_GBTFate1MT50-pos_A,Glycine betaine_13C-0 15N-1,7.98,3064946,0,215259,HILICPos,1,0,200605,Smp,GBTFate1MT50,pos,A,50,Fate1,ok,ok,ok,ok,all ok,3064946,119.08384,7.86,HILIC,74922,2990024,2990024,9019146847,3.3151960498287695e-4,900,2,50,14,2.8746007932837676,0.13172969708802001,9.529865194728993e-4,4.3670977143134426e-5
Glycine betaine,200605_Smp_GBTFate1MT50-pos_B,Glycine betaine_13C-0 15N-1,8.05,1685493,0,117257,HILICPos,1,0,200605,Smp,GBTFate1MT50,pos,B,50,Fate1,ok,ok,ok,ok,all ok,1685493,119.08384,7.86,HILIC,74922,1610571,1610571,6508570849,2.474538631237999e-4,900,2,50,14,2.1730518774890673,0.09958094572540185,5.37730081853096e-4,2.4641689713272135e-5
Glycine betaine,200605_Smp_GBTFate1MT50-pos_C,Glycine betaine_13C-0 15N-1,7.96,2172811,132642,170090,HILICPos,1,0,200605,Smp,GBTFate1MT50,pos,C,50,Fate1,ok,ok,ok,ok,all ok,2172811,119.08384,7.86,HILIC,74922,2097889,2097889,9397733538,2.2323350534648878e-4,900,2,50,14,2.7974322586842186,0.12819341903811637,6.244806090754237e-4,2.8617066294230028e-5
Glycine betaine,200605_Smp_GBTFate1MT8-pos_A,Glycine betaine_13C-0 15N-1,8.02,1650270,0,107060,HILICPos,1,0,200605,Smp,GBTFate1MT8,pos,A,8,Fate1,ok,ok,ok,ok,all ok,1650270,119.08384,7.86,HILIC,74922,1575348,1575348,2521587362,6.247445651656942e-4,1600,2,9,4.5,0.8143415700600675,0.03731751852320797,5.087554700835255e-4,2.3313916882844302e-5
Glycine betaine,200605_Smp_GBTFate1MT8-pos_B,Glycine betaine_13C-0 15N-1,8,2579209,0,184823,HILICPos,1,0,200605,Smp,GBTFate1MT8,pos,B,8,Fate1,ok,ok,ok,ok,all ok,2579209,119.08384,7.86,HILIC,74922,2504287,2504287,3453940543,7.250521451723786e-4,1600,2,9,4.5,1.1177663241327487,0.051222075648631266,8.104388711138937e-4,3.7138675829221954e-5
Glycine betaine,200605_Smp_GBTFate1MT8-pos_C,Glycine betaine_13C-0 15N-1,8.02,3100261,17428,196748,HILICPos,1,0,200605,Smp,GBTFate1MT8,pos,C,8,Fate1,ok,ok,ok,ok,all ok,3100261,119.08384,7.86,HILIC,74922,3025339,3025339,4061483873,7.448851441001401e-4,1600,2,9,4.5,1.3297617354890288,0.06093684765706445,9.905197619585976e-4,4.5390952548040734e-5
Glycine betaine,200605_Smp_GBTFate1MTlong-pos_A,Glycine betaine_13C-0 15N-1,8.03,3062609,0,207553,HILICPos,1,0,200605,Smp,GBTFate1MTlong,pos,A,96,Fate1,ok,ok,ok,ok,all ok,3062609,119.08384,7.86,HILIC,74922,2987687,2987687,9850634590,3.032989370078745e-4,800,1.9,98,48,3.2138423514111882,0.14727557316103954,9.747549688939013e-4,4.466852478696874e-5
Glycine betaine,200605_Smp_GBTFate1MTlong-pos_B,Glycine betaine_13C-0 15N-1,8.03,3459651,9606,215607,HILICPos,1,0,200605,Smp,GBTFate1MTlong,pos,B,96,Fate1,ok,ok,ok,ok,all ok,3459651,119.08384,7.86,HILIC,74922,3384729,3384729,10695325516,3.164680677494585e-4,800,1.8,98,48,3.9961915849558793,0.18312703044605574,0.001264667029247633,5.795385747795951e-5
Glycine betaine,200605_Smp_GBTFate1MTlong-pos_C,Glycine betaine_13C-0 15N-1,7.97,4411953,7462,263042,HILICPos,1,0,200605,Smp,GBTFate1MTlong,pos,C,96,Fate1,ok,ok,ok,ok,all ok,4411953,119.08384,7.86,HILIC,74922,4337031,4337031,14009136281,3.095858954475396e-4,800,2,98,48,4.5695424208749476,0.20940105504009482,0.0014146658821520884,6.482761313224728e-5
Glycine betaine,200605_Smp_GBTFate2MT0-pos_A,Glycine betaine_13C-0 15N-1,7.98,3845673,8311,281684,HILICPos,1,0,200605,Smp,GBTFate2MT0,pos,A,0,Fate2,ok,ok,ok,ok,all ok,3845673,119.08384,7.86,HILIC,74922,3770751,3770751,1896092748,0.001988695439069313,700,2,0.3,0,0.6581653957833515,0.030160684719396123,0.0013088905207476005,5.998041614067059e-5
Glycine betaine,200605_Smp_GBTFate2MT0-pos_B,Glycine betaine_13C-0 15N-1,8,4053659,0,253312,HILICPos,1,0,200605,Smp,GBTFate2MT0,pos,B,0,Fate2,ok,ok,ok,ok,all ok,4053659,119.08384,7.86,HILIC,74922,3978737,3978737,1949568457,0.002040829592679443,700,2,0.3,0,0.6843021363424275,0.03135841100012333,0.001396544050181389,6.399717314845626e-5
Glycine betaine,200605_Smp_GBTFate2MT0-pos_C,Glycine betaine_13C-0 15N-1,7.96,2727343,0,180230,HILICPos,1,0,200605,Smp,GBTFate2MT0,pos,C,0,Fate2,ok,ok,ok,ok,all ok,2727343,119.08384,7.86,HILIC,74922,2652421,2652421,1358236514,0.0019528417714147833,700,2,0.3,0,0.47435566327627077,0.021737532384101574,9.263415537530671e-4,4.2449961247155136e-5
