Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea
Isethionic acid,200605_Smp_GBTFate1MT50-IS_C,Isethionic acid_13C-0,6.49,436938144,0,10457853,HILICNeg,0,0,200605,Smp,GBTFate1MT50,IS,C,50,Fate1,ok,ok,ok,ok,all ok,436938144
Isethionic acid,200605_Smp_GBTFate1MT8-IS_A,Isethionic acid_13C-0,6.35,179478064,0,4446226,HILICNeg,0,0,200605,Smp,GBTFate1MT8,IS,A,8,Fate1,ok,ok,ok,ok,all ok,179478064
Isethionic acid,200605_Smp_GBTFate1MT8-IS_B,Isethionic acid_13C-0,7.68,138372816,0,4990982,HILICNeg,0,0,200605,Smp,GBTFate1MT8,IS,B,8,Fate1,ok,ok,ok,ok,all ok,138372816
Isethionic acid,200605_Smp_GBTFate1MT8-IS_C,Isethionic acid_13C-0,7.1,168383392,0,5086526,HILICNeg,0,0,200605,Smp,GBTFate1MT8,IS,C,8,Fate1,ok,ok,ok,ok,all ok,168383392
Isethionic acid,200605_Smp_GBTFate1MTlong-IS_A,Isethionic acid_13C-0,7.27,493283040,4901941,14430855,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,IS,A,96,Fate1,ok,ok,ok,ok,all ok,493283040
Isethionic acid,200605_Smp_GBTFate1MTlong-IS_B,Isethionic acid_13C-0,7.33,530220256,3304344,16426294,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,IS,B,96,Fate1,ok,ok,ok,ok,all ok,530220256
Isethionic acid,200605_Smp_GBTFate1MTlong-IS_C,Isethionic acid_13C-0,7.14,618360896,6156096,18482742,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,IS,C,96,Fate1,ok,ok,ok,ok,all ok,618360896
Isethionic acid,200605_Smp_GBTFate2MT0-IS_A,Isethionic acid_13C-0,7.02,109091560,0,3257270,HILICNeg,0,0,200605,Smp,GBTFate2MT0,IS,A,0,Fate2,ok,ok,ok,ok,all ok,109091560
Isethionic acid,200605_Smp_GBTFate2MT0-IS_B,Isethionic acid_13C-0,7.39,105750312,0,4171089,HILICNeg,0,0,200605,Smp,GBTFate2MT0,IS,B,0,Fate2,ok,ok,ok,ok,all ok,105750312
Isethionic acid,200605_Smp_GBTFate2MT0-IS_C,Isethionic acid_13C-0,7.03,99611456,0,3159373,HILICNeg,0,0,200605,Smp,GBTFate2MT0,IS,C,0,Fate2,ok,ok,ok,ok,all ok,99611456
Isethionic acid,200605_Smp_GBTFate2MT12-IS_A,Isethionic acid_13C-0,6.91,158670160,1241434,4539251,HILICNeg,0,0,200605,Smp,GBTFate2MT12,IS,A,12,Fate2,ok,ok,ok,ok,all ok,158670160
Isethionic acid,200605_Smp_GBTFate2MT12-IS_B,Isethionic acid_13C-0,6.61,193843584,0,4552562,HILICNeg,0,0,200605,Smp,GBTFate2MT12,IS,B,12,Fate2,ok,ok,ok,ok,all ok,193843584
Isethionic acid,200605_Smp_GBTFate2MT12-IS_C,Isethionic acid_13C-0,7.35,120752776,0,4176005,HILICNeg,0,0,200605,Smp,GBTFate2MT12,IS,C,12,Fate2,ok,ok,ok,ok,all ok,120752776
Isethionic acid,200605_Smp_GBTFate2MT24-IS_A,Isethionic acid_13C-0,7.42,131357544,0,4894940,HILICNeg,0,0,200605,Smp,GBTFate2MT24,IS,A,24,Fate2,ok,ok,ok,ok,all ok,131357544
Isethionic acid,200605_Smp_GBTFate2MT24-IS_B,Isethionic acid_13C-0,6.67,197021440,0,5117487,HILICNeg,0,0,200605,Smp,GBTFate2MT24,IS,B,24,Fate2,ok,ok,ok,ok,all ok,197021440
Isethionic acid,200605_Smp_GBTFate2MT24-IS_C,Isethionic acid_13C-0,6.37,208285344,0,5145998,HILICNeg,0,0,200605,Smp,GBTFate2MT24,IS,C,24,Fate2,ok,ok,ok,ok,all ok,208285344
Isethionic acid,200605_Smp_GBTFate2MT48-IS_A,Isethionic acid_13C-0,6.24,255701344,0,6360857,HILICNeg,0,0,200605,Smp,GBTFate2MT48,IS,A,48,Fate2,ok,ok,ok,ok,all ok,255701344
Isethionic acid,200605_Smp_GBTFate2MT48-IS_B,Isethionic acid_13C-0,6.53,229358544,1874235,5995102,HILICNeg,0,0,200605,Smp,GBTFate2MT48,IS,B,48,Fate2,ok,ok,ok,ok,all ok,229358544
Isethionic acid,200605_Smp_GBTFate2MT48-IS_C,Isethionic acid_13C-0,7.39,148071568,0,5240925,HILICNeg,0,0,200605,Smp,GBTFate2MT48,IS,C,48,Fate2,ok,ok,ok,ok,all ok,148071568
Isethionic acid,200605_Smp_GBTFate2MT5-IS_A,Isethionic acid_13C-0,7.44,87472752,0,3176649,HILICNeg,0,0,200605,Smp,GBTFate2MT5,IS,A,5,Fate2,ok,ok,ok,ok,all ok,87472752
Isethionic acid,200605_Smp_GBTFate2MT5-IS_B,Isethionic acid_13C-0,6.34,205622128,0,5427401,HILICNeg,0,0,200605,Smp,GBTFate2MT5,IS,B,5,Fate2,ok,ok,ok,ok,all ok,205622128
Isethionic acid,200605_Smp_GBTFate2MT5-IS_C,Isethionic acid_13C-0,6.96,117040328,0,3628890,HILICNeg,0,0,200605,Smp,GBTFate2MT5,IS,C,5,Fate2,ok,ok,ok,ok,all ok,117040328
Isethionic acid,200605_Smp_GBTFate2MTlong-IS_A,Isethionic acid_13C-0,7.09,177926512,0,5726853,HILICNeg,0,0,200605,Smp,GBTFate2MTlong,IS,A,96,Fate2,ok,ok,ok,ok,all ok,177926512
Isethionic acid,200605_Smp_GBTFate2MTlong-IS_B,Isethionic acid_13C-0,6.53,241543120,0,6129261,HILICNeg,0,0,200605,Smp,GBTFate2MTlong,IS,B,96,Fate2,ok,ok,ok,ok,all ok,241543120
Isethionic acid,200605_Smp_GBTFate2MTlong-IS_C,Isethionic acid_13C-0,6.79,215601744,0,6073912,HILICNeg,0,0,200605,Smp,GBTFate2MTlong,IS,C,96,Fate2,ok,ok,ok,ok,all ok,215601744
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Full1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.28,75713960,0,2530680,HILICNeg,0,0,200605,Poo,TruePooGBT,Full1,NA,NA,ePooG,ok,ok,ok,ok,all ok,75713960
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Full2,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.16,67503408,0,1957061,HILICNeg,0,0,200605,Poo,TruePooGBT,Full2,NA,NA,ePooG,ok,ok,ok,ok,all ok,67503408
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Full3,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.07,90040872,0,1865789,HILICNeg,0,0,200605,Poo,TruePooGBT,Full3,NA,NA,ePooG,ok,ok,ok,ok,all ok,90040872
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Full4,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.9,103471488,0,1878538,HILICNeg,0,0,200605,Poo,TruePooGBT,Full4,NA,NA,ePooG,ok,ok,ok,ok,all ok,103471488
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Full5,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.15,122077168,0,2065658,HILICNeg,0,0,200605,Poo,TruePooGBT,Full5,NA,NA,ePooG,ok,ok,ok,ok,all ok,122077168
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Full6neg,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.84,92775192,0,1711381,HILICNeg,0,0,200605,Poo,TruePooGBT,Full6neg,NA,NA,ePooG,ok,ok,ok,ok,all ok,92775192
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Half1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.09,35293752,0,1554617,HILICNeg,0,0,200605,Poo,TruePooGBT,Half1,NA,NA,ePooG,ok,ok,ok,ok,all ok,35293752
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Half2,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.97,34022360,0,1239755,HILICNeg,0,0,200605,Poo,TruePooGBT,Half2,NA,NA,ePooG,ok,ok,ok,ok,all ok,34022360
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Half3,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.68,56030428,0,1628608,HILICNeg,0,0,200605,Poo,TruePooGBT,Half3,NA,NA,ePooG,ok,ok,ok,ok,all ok,56030428
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Half4,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.65,67289040,0,1534432,HILICNeg,0,0,200605,Poo,TruePooGBT,Half4,NA,NA,ePooG,ok,ok,ok,ok,all ok,67289040
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Half5,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.16,72971552,0,1562028,HILICNeg,0,0,200605,Poo,TruePooGBT,Half5,NA,NA,ePooG,ok,ok,ok,ok,all ok,72971552
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_TruePooGBT_Half6neg,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.04,47410720,0,1077497,HILICNeg,0,0,200605,Poo,TruePooGBT,Half6neg,NA,NA,ePooG,ok,ok,ok,ok,all ok,47410720
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_QC2_1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.53,138840880,0,4058424,HILICNeg,0,0,200605,Poo,QC2,1,NA,NA,,ok,ok,ok,ok,all ok,138840880
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_QC2_2,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.45,150991040,0,3678039,HILICNeg,0,0,200605,Poo,QC2,2,NA,NA,,ok,ok,ok,ok,all ok,150991040
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_QC2_3,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.31,166892816,0,3157357,HILICNeg,0,0,200605,Poo,QC2,3,NA,NA,,ok,ok,ok,ok,all ok,166892816
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_QC2_4,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.25,189101136,0,3274254,HILICNeg,0,0,200605,Poo,QC2,4,NA,NA,,ok,ok,ok,ok,all ok,189101136
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Poo_QC2_5,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.15,210651968,271456,2844212,HILICNeg,0,0,200605,Poo,QC2,5,NA,NA,,ok,ok,ok,ok,all ok,210651968
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Blk_GBTFate1MBlk-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.78,NA,0,57081,HILICNeg,0,0,200605,Blk,GBTFate1MBlk,IS,A,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,234374
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Blk_GBTFate1MBlk-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.7,NA,0,0,HILICNeg,0,0,200605,Blk,GBTFate1MBlk,IS,B,NA,Fate1,comparable to blank,NA,too small,ok,something is wrong,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT0-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.95,90480544,0,1827252,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,A,0,Fate1,ok,ok,ok,ok,all ok,90480544
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT0-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.15,76511056,0,1795183,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,B,0,Fate1,ok,ok,ok,ok,all ok,76511056
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT0-IS_C,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.92,119084992,0,2060897,HILICNeg,0,0,200605,Smp,GBTFate1MT0,IS,C,0,Fate1,ok,ok,ok,ok,all ok,119084992
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT12-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.87,101154688,0,2131218,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,A,12,Fate1,ok,ok,ok,ok,all ok,101154688
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT12-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.1,47406452,0,1368610,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,B,12,Fate1,ok,ok,ok,ok,all ok,47406452
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT12-IS_C,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.82,83411552,0,1346047,HILICNeg,0,0,200605,Smp,GBTFate1MT12,IS,C,12,Fate1,ok,ok,ok,ok,all ok,83411552
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT36-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.25,116263496,0,3401765,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,A,36,Fate1,ok,ok,ok,ok,all ok,116263496
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT36-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.28,86558568,0,2394181,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,B,36,Fate1,ok,ok,ok,ok,all ok,86558568
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT36-IS_C,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.12,150134896,0,2708895,HILICNeg,0,0,200605,Smp,GBTFate1MT36,IS,C,36,Fate1,ok,ok,ok,ok,all ok,150134896
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT4-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.38,37666720,0,1275350,HILICNeg,0,0,200605,Smp,GBTFate1MT4,IS,A,4,Fate1,ok,ok,ok,ok,all ok,37666720
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT4-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.21,91818792,0,2826297,HILICNeg,0,0,200605,Smp,GBTFate1MT4,IS,B,4,Fate1,ok,ok,ok,ok,all ok,91818792
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT4-IS_C,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.12,76666160,0,1919698,HILICNeg,0,0,200605,Smp,GBTFate1MT4,IS,C,4,Fate1,ok,ok,ok,ok,all ok,76666160
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT50-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.93,146138080,0,3519674,HILICNeg,0,0,200605,Smp,GBTFate1MT50,IS,A,50,Fate1,ok,ok,ok,ok,all ok,146138080
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT50-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.07,134850528,0,3084043,HILICNeg,0,0,200605,Smp,GBTFate1MT50,IS,B,50,Fate1,ok,ok,ok,ok,all ok,134850528
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT50-IS_C,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.8,215392768,0,3999101,HILICNeg,0,0,200605,Smp,GBTFate1MT50,IS,C,50,Fate1,ok,ok,ok,ok,all ok,215392768
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT8-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.87,69030472,0,1342909,HILICNeg,0,0,200605,Smp,GBTFate1MT8,IS,A,8,Fate1,ok,ok,ok,ok,all ok,69030472
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT8-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.51,81729464,0,2266394,HILICNeg,0,0,200605,Smp,GBTFate1MT8,IS,B,8,Fate1,ok,ok,ok,ok,all ok,81729464
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MT8-IS_C,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.07,83043552,0,1984669,HILICNeg,0,0,200605,Smp,GBTFate1MT8,IS,C,8,Fate1,ok,ok,ok,ok,all ok,83043552
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MTlong-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.18,158388496,0,4599750,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,IS,A,96,Fate1,ok,ok,ok,ok,all ok,158388496
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MTlong-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.31,131176224,0,3727161,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,IS,B,96,Fate1,ok,ok,ok,ok,all ok,131176224
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate1MTlong-IS_C,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.13,262588736,1338552,6452916,HILICNeg,0,0,200605,Smp,GBTFate1MTlong,IS,C,96,Fate1,ok,ok,ok,ok,all ok,262588736
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate2MT0-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.15,51001960,0,1153914,HILICNeg,0,0,200605,Smp,GBTFate2MT0,IS,A,0,Fate2,ok,ok,ok,ok,all ok,51001960
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate2MT0-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.36,48030852,0,1582565,HILICNeg,0,0,200605,Smp,GBTFate2MT0,IS,B,0,Fate2,ok,ok,ok,ok,all ok,48030852
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate2MT0-IS_C,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.14,38215224,0,972259,HILICNeg,0,0,200605,Smp,GBTFate2MT0,IS,C,0,Fate2,ok,ok,ok,ok,all ok,38215224
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate2MT12-IS_A,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",8.78,70808128,0,1625990,HILICNeg,0,0,200605,Smp,GBTFate2MT12,IS,A,12,Fate2,ok,ok,ok,ok,all ok,70808128
"(R)-2,3-Dihydroxypropane-1-sulfonate",200605_Smp_GBTFate2MT12-IS_B,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",9.01,79546784,0,1404845,HILICNeg,0,0,200605,Smp,GBTFate2MT12,IS,B,12,Fate2,ok,ok,ok,ok,all ok,79546784
