Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea
L-Alanine,200605_Poo_QC2_4,L-Alanine_13C-0 15N-0,11.15,23412338,2070978,1811207,HILICPos,0,0,200605,Poo,QC2,4,NA,NA,,ok,ok,ok,ok,all ok,23412338
L-Alanine,200605_Poo_QC2_5,L-Alanine_13C-0 15N-0,11.09,28255460,2418543,2074940,HILICPos,0,0,200605,Poo,QC2,5,NA,NA,,ok,ok,ok,ok,all ok,28255460
L-Alanine,200605_Blk_GBTFate1MBlk-IS_A,L-Alanine_13C-0 15N-0,11.22,NA,160354,153488,HILICPos,0,0,200605,Blk,GBTFate1MBlk,IS,A,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,2387473
L-Alanine,200605_Blk_GBTFate1MBlk-IS_B,L-Alanine_13C-0 15N-0,11.25,NA,914236,50227,HILICPos,0,0,200605,Blk,GBTFate1MBlk,IS,B,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,516529
L-Alanine,200605_Smp_GBTFate1MT0-IS_A,L-Alanine_13C-0 15N-0,11.16,9940289,1501049,845557,HILICPos,0,0,200605,Smp,GBTFate1MT0,IS,A,0,Fate1,ok,ok,ok,ok,all ok,9940289
L-Alanine,200605_Smp_GBTFate1MT0-IS_B,L-Alanine_13C-0 15N-0,11.22,8799044,955951,664906,HILICPos,0,0,200605,Smp,GBTFate1MT0,IS,B,0,Fate1,ok,ok,ok,ok,all ok,8799044
L-Alanine,200605_Smp_GBTFate1MT0-IS_C,L-Alanine_13C-0 15N-0,11.13,11994629,1518108,916874,HILICPos,0,0,200605,Smp,GBTFate1MT0,IS,C,0,Fate1,ok,ok,ok,ok,all ok,11994629
L-Alanine,200605_Smp_GBTFate1MT12-IS_A,L-Alanine_13C-0 15N-0,11.13,10595825,1552296,840274,HILICPos,0,0,200605,Smp,GBTFate1MT12,IS,A,12,Fate1,ok,ok,ok,ok,all ok,10595825
L-Alanine,200605_Smp_GBTFate1MT12-IS_B,L-Alanine_13C-0 15N-0,11.29,7232057,1111238,539678,HILICPos,0,0,200605,Smp,GBTFate1MT12,IS,B,12,Fate1,ok,ok,ok,ok,all ok,7232057
L-Alanine,200605_Smp_GBTFate1MT12-IS_C,L-Alanine_13C-0 15N-0,11.11,10357481,1263692,784279,HILICPos,0,0,200605,Smp,GBTFate1MT12,IS,C,12,Fate1,ok,ok,ok,ok,all ok,10357481
L-Alanine,200605_Smp_GBTFate1MT36-IS_A,L-Alanine_13C-0 15N-0,11.28,15424029,824774,1214852,HILICPos,0,0,200605,Smp,GBTFate1MT36,IS,A,36,Fate1,ok,ok,ok,ok,all ok,15424029
L-Alanine,200605_Smp_GBTFate1MT36-IS_B,L-Alanine_13C-0 15N-0,11.28,12045274,1304786,1029087,HILICPos,0,0,200605,Smp,GBTFate1MT36,IS,B,36,Fate1,ok,ok,ok,ok,all ok,12045274
L-Alanine,200605_Smp_GBTFate1MT36-IS_C,L-Alanine_13C-0 15N-0,11.2,18892398,1392876,1566708,HILICPos,0,0,200605,Smp,GBTFate1MT36,IS,C,36,Fate1,ok,ok,ok,ok,all ok,18892398
L-Alanine,200605_Smp_GBTFate1MT4-IS_A,L-Alanine_13C-0 15N-0,11.32,6554523,819115,519286,HILICPos,0,0,200605,Smp,GBTFate1MT4,IS,A,4,Fate1,ok,ok,ok,ok,all ok,6554523
L-Alanine,200605_Smp_GBTFate1MT4-IS_B,L-Alanine_13C-0 15N-0,11.29,10949895,950159,853774,HILICPos,0,0,200605,Smp,GBTFate1MT4,IS,B,4,Fate1,ok,ok,ok,ok,all ok,10949895
L-Alanine,200605_Smp_GBTFate1MT4-IS_C,L-Alanine_13C-0 15N-0,11.22,8810648,1057803,655955,HILICPos,0,0,200605,Smp,GBTFate1MT4,IS,C,4,Fate1,ok,ok,ok,ok,all ok,8810648
L-Alanine,200605_Smp_GBTFate1MT50-IS_A,L-Alanine_13C-0 15N-0,11.25,15908302,1055138,1272464,HILICPos,0,0,200605,Smp,GBTFate1MT50,IS,A,50,Fate1,ok,ok,ok,ok,all ok,15908302
L-Alanine,200605_Smp_GBTFate1MT50-IS_B,L-Alanine_13C-0 15N-0,11.23,14357665,1075694,1098518,HILICPos,0,0,200605,Smp,GBTFate1MT50,IS,B,50,Fate1,ok,ok,ok,ok,all ok,14357665
L-Alanine,200605_Smp_GBTFate1MT50-IS_C,L-Alanine_13C-0 15N-0,11.17,15205063,1481189,1269868,HILICPos,0,0,200605,Smp,GBTFate1MT50,IS,C,50,Fate1,ok,ok,ok,ok,all ok,15205063
L-Alanine,200605_Smp_GBTFate1MT8-IS_A,L-Alanine_13C-0 15N-0,11.1,9187126,1352175,753221,HILICPos,0,0,200605,Smp,GBTFate1MT8,IS,A,8,Fate1,ok,ok,ok,ok,all ok,9187126
L-Alanine,200605_Smp_GBTFate1MT8-IS_B,L-Alanine_13C-0 15N-0,11.31,20265764,1034348,1590600,HILICPos,0,0,200605,Smp,GBTFate1MT8,IS,B,8,Fate1,ok,ok,ok,ok,all ok,20265764
L-Alanine,200605_Smp_GBTFate1MT8-IS_C,L-Alanine_13C-0 15N-0,11.25,10755386,1042941,812020,HILICPos,0,0,200605,Smp,GBTFate1MT8,IS,C,8,Fate1,ok,ok,ok,ok,all ok,10755386
L-Alanine,200605_Smp_GBTFate1MTlong-IS_A,L-Alanine_13C-0 15N-0,11.28,25036650,1328531,2009822,HILICPos,0,0,200605,Smp,GBTFate1MTlong,IS,A,96,Fate1,ok,ok,ok,ok,all ok,25036650
L-Alanine,200605_Smp_GBTFate1MTlong-IS_B,L-Alanine_13C-0 15N-0,11.29,28872630,1157704,2217457,HILICPos,0,0,200605,Smp,GBTFate1MTlong,IS,B,96,Fate1,ok,ok,ok,ok,all ok,28872630
L-Alanine,200605_Smp_GBTFate1MTlong-IS_C,L-Alanine_13C-0 15N-0,11.29,24535626,1319343,1791808,HILICPos,0,0,200605,Smp,GBTFate1MTlong,IS,C,96,Fate1,ok,ok,ok,ok,all ok,24535626
L-Alanine,200605_Smp_GBTFate2MT0-IS_A,L-Alanine_13C-0 15N-0,11.23,10026173,1184227,791896,HILICPos,0,0,200605,Smp,GBTFate2MT0,IS,A,0,Fate2,ok,ok,ok,ok,all ok,10026173
L-Alanine,200605_Smp_GBTFate2MT0-IS_B,L-Alanine_13C-0 15N-0,11.29,8502424,1150445,666981,HILICPos,0,0,200605,Smp,GBTFate2MT0,IS,B,0,Fate2,ok,ok,ok,ok,all ok,8502424
L-Alanine,200605_Smp_GBTFate2MT0-IS_C,L-Alanine_13C-0 15N-0,11.23,8621158,1002603,663762,HILICPos,0,0,200605,Smp,GBTFate2MT0,IS,C,0,Fate2,ok,ok,ok,ok,all ok,8621158
L-Alanine,200605_Smp_GBTFate2MT12-IS_A,L-Alanine_13C-0 15N-0,11.18,8326629,0,624071,HILICPos,0,0,200605,Smp,GBTFate2MT12,IS,A,12,Fate2,ok,ok,ok,ok,all ok,8326629
L-Alanine,200605_Smp_GBTFate2MT12-IS_B,L-Alanine_13C-0 15N-0,11.14,9232900,1574345,756328,HILICPos,0,0,200605,Smp,GBTFate2MT12,IS,B,12,Fate2,ok,ok,ok,ok,all ok,9232900
L-Alanine,200605_Smp_GBTFate2MT12-IS_C,L-Alanine_13C-0 15N-0,11.29,16117419,993945,1236352,HILICPos,0,0,200605,Smp,GBTFate2MT12,IS,C,12,Fate2,ok,ok,ok,ok,all ok,16117419
L-Alanine,200605_Smp_GBTFate2MT24-IS_A,L-Alanine_13C-0 15N-0,11.29,7278034,1076094,549186,HILICPos,0,0,200605,Smp,GBTFate2MT24,IS,A,24,Fate2,ok,ok,ok,ok,all ok,7278034
L-Alanine,200605_Smp_GBTFate2MT24-IS_B,L-Alanine_13C-0 15N-0,11.2,6933705,1378827,535198,HILICPos,0,0,200605,Smp,GBTFate2MT24,IS,B,24,Fate2,ok,ok,ok,ok,all ok,6933705
L-Alanine,200605_Smp_GBTFate2MT24-IS_C,L-Alanine_13C-0 15N-0,11.14,8341869,1424600,662147,HILICPos,0,0,200605,Smp,GBTFate2MT24,IS,C,24,Fate2,ok,ok,ok,ok,all ok,8341869
L-Alanine,200605_Smp_GBTFate2MT48-IS_A,L-Alanine_13C-0 15N-0,11.11,8387758,1566202,627954,HILICPos,0,0,200605,Smp,GBTFate2MT48,IS,A,48,Fate2,ok,ok,ok,ok,all ok,8387758
L-Alanine,200605_Smp_GBTFate2MT48-IS_B,L-Alanine_13C-0 15N-0,11.15,7613379,1220764,599469,HILICPos,0,0,200605,Smp,GBTFate2MT48,IS,B,48,Fate2,ok,ok,ok,ok,all ok,7613379
L-Alanine,200605_Smp_GBTFate2MT48-IS_C,L-Alanine_13C-0 15N-0,11.29,7889012,948536,625205,HILICPos,0,0,200605,Smp,GBTFate2MT48,IS,C,48,Fate2,ok,ok,ok,ok,all ok,7889012
L-Alanine,200605_Smp_GBTFate2MT5-IS_A,L-Alanine_13C-0 15N-0,11.29,7165108,864396,578502,HILICPos,0,0,200605,Smp,GBTFate2MT5,IS,A,5,Fate2,ok,ok,ok,ok,all ok,7165108
L-Alanine,200605_Smp_GBTFate2MT5-IS_B,L-Alanine_13C-0 15N-0,11.14,11205769,1478667,886082,HILICPos,0,0,200605,Smp,GBTFate2MT5,IS,B,5,Fate2,ok,ok,ok,ok,all ok,11205769
L-Alanine,200605_Smp_GBTFate2MT5-IS_C,L-Alanine_13C-0 15N-0,11.15,7301285,1234962,572221,HILICPos,0,0,200605,Smp,GBTFate2MT5,IS,C,5,Fate2,ok,ok,ok,ok,all ok,7301285
L-Alanine,200605_Smp_GBTFate2MTlong-IS_A,L-Alanine_13C-0 15N-0,11.22,6123941,1021941,464528,HILICPos,0,0,200605,Smp,GBTFate2MTlong,IS,A,96,Fate2,ok,ok,ok,ok,all ok,6123941
L-Alanine,200605_Smp_GBTFate2MTlong-IS_B,L-Alanine_13C-0 15N-0,11.12,6921445,1235937,522770,HILICPos,0,0,200605,Smp,GBTFate2MTlong,IS,B,96,Fate2,ok,ok,ok,ok,all ok,6921445
L-Alanine,200605_Smp_GBTFate2MTlong-IS_C,L-Alanine_13C-0 15N-0,11.18,8224151,1494794,727314,HILICPos,0,0,200605,Smp,GBTFate2MTlong,IS,C,96,Fate2,ok,ok,ok,ok,all ok,8224151
L-Arginine,200605_Std_4uMStdsMix1InH2O_1,L-Arginine_13C-0 15N-0,18.74,84611696,472875,2272379,HILICPos,0,0,200605,Std,4uMStdsMix1InH2O,1,NA,NA,StdsM,ok,ok,ok,ok,all ok,84611696
L-Arginine,200605_Std_4uMStdsMix1InH2O_2,L-Arginine_13C-0 15N-0,19.25,113166600,1660219,2574890,HILICPos,0,0,200605,Std,4uMStdsMix1InH2O,2,NA,NA,StdsM,ok,ok,ok,ok,all ok,113166600
L-Arginine,200605_Std_4uMStdsMix1InMatrix_1,L-Arginine_13C-0 15N-0,18.58,86402152,1335598,2638649,HILICPos,0,0,200605,Std,4uMStdsMix1InMatrix,1,NA,NA,StdsM,ok,ok,ok,ok,all ok,86402152
L-Arginine,200605_Std_4uMStdsMix1InMatrix_2,L-Arginine_13C-0 15N-0,19.19,125790016,1372437,3084916,HILICPos,0,0,200605,Std,4uMStdsMix1InMatrix,2,NA,NA,StdsM,ok,ok,ok,ok,all ok,125790016
L-Arginine,200605_Std_4uMStdsMix2InH2O_1,L-Arginine_13C-0 15N-0,18.76,NA,0,34991,HILICPos,0,0,200605,Std,4uMStdsMix2InH2O,1,NA,NA,StdsM,comparable to blank,ok,ok,ok,something is wrong,1573887
L-Arginine,200605_Std_4uMStdsMix2InH2O_2,L-Arginine_13C-0 15N-0,19.16,NA,0,31267,HILICPos,0,0,200605,Std,4uMStdsMix2InH2O,2,NA,NA,StdsM,comparable to blank,ok,ok,ok,something is wrong,1867860
L-Arginine,200605_Std_4uMStdsMix2InMatrix_1,L-Arginine_13C-0 15N-0,18.61,7933086,0,249332,HILICPos,0,0,200605,Std,4uMStdsMix2InMatrix,1,NA,NA,StdsM,ok,ok,ok,ok,all ok,7933086
L-Arginine,200605_Std_4uMStdsMix2InMatrix_2,L-Arginine_13C-0 15N-0,19.16,11524553,0,269737,HILICPos,0,0,200605,Std,4uMStdsMix2InMatrix,2,NA,NA,StdsM,ok,ok,ok,ok,all ok,11524553
L-Arginine,200605_Std_H2OinMatrix_1,L-Arginine_13C-0 15N-0,18.62,8719567,0,215323,HILICPos,0,0,200605,Std,H2OinMatrix,1,NA,NA,inMat,ok,ok,ok,ok,all ok,8719567
L-Arginine,200605_Std_H2OinMatrix_2,L-Arginine_13C-0 15N-0,19.11,10632213,0,226548,HILICPos,0,0,200605,Std,H2OinMatrix,2,NA,NA,inMat,ok,ok,ok,ok,all ok,10632213
L-Arginine,200605_Poo_TruePooGBT_Full1,L-Arginine_13C-0 15N-0,18.72,16551015,40324,485594,HILICPos,0,0,200605,Poo,TruePooGBT,Full1,NA,NA,ePooG,ok,ok,ok,ok,all ok,16551015
L-Arginine,200605_Poo_TruePooGBT_Full2,L-Arginine_13C-0 15N-0,18.82,12727918,0,354871,HILICPos,0,0,200605,Poo,TruePooGBT,Full2,NA,NA,ePooG,ok,ok,ok,ok,all ok,12727918
L-Arginine,200605_Poo_TruePooGBT_Full3,L-Arginine_13C-0 15N-0,18.83,13190681,114050,318356,HILICPos,0,0,200605,Poo,TruePooGBT,Full3,NA,NA,ePooG,ok,ok,ok,ok,all ok,13190681
L-Arginine,200605_Poo_TruePooGBT_Full4,L-Arginine_13C-0 15N-0,18.99,16448223,167913,419768,HILICPos,0,0,200605,Poo,TruePooGBT,Full4,NA,NA,ePooG,ok,ok,ok,ok,all ok,16448223
L-Arginine,200605_Poo_TruePooGBT_Full5,L-Arginine_13C-0 15N-0,19.05,15078914,143476,361780,HILICPos,0,0,200605,Poo,TruePooGBT,Full5,NA,NA,ePooG,ok,ok,ok,ok,all ok,15078914
L-Arginine,200605_Poo_TruePooGBT_Full6pos,L-Arginine_13C-0 15N-0,19.15,6882073,0,196895,HILICPos,0,0,200605,Poo,TruePooGBT,Full6pos,NA,NA,ePooG,ok,ok,ok,ok,all ok,6882073
L-Arginine,200605_Poo_TruePooGBT_Half1,L-Arginine_13C-0 15N-0,18.78,8469088,0,232954,HILICPos,0,0,200605,Poo,TruePooGBT,Half1,NA,NA,ePooG,ok,ok,ok,ok,all ok,8469088
L-Arginine,200605_Poo_TruePooGBT_Half2,L-Arginine_13C-0 15N-0,18.87,6628738,0,179139,HILICPos,0,0,200605,Poo,TruePooGBT,Half2,NA,NA,ePooG,ok,ok,ok,ok,all ok,6628738
L-Arginine,200605_Poo_TruePooGBT_Half3,L-Arginine_13C-0 15N-0,19,6477906,0,147775,HILICPos,0,0,200605,Poo,TruePooGBT,Half3,NA,NA,ePooG,ok,ok,ok,ok,all ok,6477906
L-Arginine,200605_Poo_TruePooGBT_Half4,L-Arginine_13C-0 15N-0,19.13,8152257,17186,191063,HILICPos,0,0,200605,Poo,TruePooGBT,Half4,NA,NA,ePooG,ok,ok,ok,ok,all ok,8152257
L-Arginine,200605_Poo_TruePooGBT_Half5,L-Arginine_13C-0 15N-0,19.12,9655253,0,204619,HILICPos,0,0,200605,Poo,TruePooGBT,Half5,NA,NA,ePooG,ok,ok,ok,ok,all ok,9655253
L-Arginine,200605_Poo_TruePooGBT_Half6pos,L-Arginine_13C-0 15N-0,19.18,4179143,48029,114347,HILICPos,0,0,200605,Poo,TruePooGBT,Half6pos,NA,NA,ePooG,ok,ok,ok,ok,all ok,4179143
L-Arginine,200605_Poo_QC2_1,L-Arginine_13C-0 15N-0,18.68,73886512,433014,2119680,HILICPos,0,0,200605,Poo,QC2,1,NA,NA,,ok,ok,ok,ok,all ok,73886512
L-Arginine,200605_Poo_QC2_2,L-Arginine_13C-0 15N-0,18.74,59953460,849220,1637868,HILICPos,0,0,200605,Poo,QC2,2,NA,NA,,ok,ok,ok,ok,all ok,59953460
L-Arginine,200605_Poo_QC2_3,L-Arginine_13C-0 15N-0,18.91,57589376,967331,1533814,HILICPos,0,0,200605,Poo,QC2,3,NA,NA,,ok,ok,ok,ok,all ok,57589376
L-Arginine,200605_Poo_QC2_4,L-Arginine_13C-0 15N-0,18.97,78059936,1110075,2000687,HILICPos,0,0,200605,Poo,QC2,4,NA,NA,,ok,ok,ok,ok,all ok,78059936
L-Arginine,200605_Poo_QC2_5,L-Arginine_13C-0 15N-0,19.03,81745736,1308733,1968267,HILICPos,0,0,200605,Poo,QC2,5,NA,NA,,ok,ok,ok,ok,all ok,81745736
L-Arginine,200605_Blk_GBTFate1MBlk-IS_A,L-Arginine_13C-0 15N-0,19.07,NA,0,29289,HILICPos,0,0,200605,Blk,GBTFate1MBlk,IS,A,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,1187826
L-Arginine,200605_Blk_GBTFate1MBlk-IS_B,L-Arginine_13C-0 15N-0,18.85,NA,0,22409,HILICPos,0,0,200605,Blk,GBTFate1MBlk,IS,B,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,889684
L-Arginine,200605_Smp_GBTFate1MT0-IS_A,L-Arginine_13C-0 15N-0,18.99,13956251,0,340188,HILICPos,0,0,200605,Smp,GBTFate1MT0,IS,A,0,Fate1,ok,ok,ok,ok,all ok,13956251
L-Arginine,200605_Smp_GBTFate1MT0-IS_B,L-Arginine_13C-0 15N-0,18.86,7565637,0,185503,HILICPos,0,0,200605,Smp,GBTFate1MT0,IS,B,0,Fate1,ok,ok,ok,ok,all ok,7565637
L-Arginine,200605_Smp_GBTFate1MT0-IS_C,L-Arginine_13C-0 15N-0,18.99,16883456,0,393578,HILICPos,0,0,200605,Smp,GBTFate1MT0,IS,C,0,Fate1,ok,ok,ok,ok,all ok,16883456
L-Arginine,200605_Smp_GBTFate1MT12-IS_A,L-Arginine_13C-0 15N-0,19.01,21425588,40925,511155,HILICPos,0,0,200605,Smp,GBTFate1MT12,IS,A,12,Fate1,ok,ok,ok,ok,all ok,21425588
L-Arginine,200605_Smp_GBTFate1MT12-IS_B,L-Arginine_13C-0 15N-0,18.78,13017585,128141,342890,HILICPos,0,0,200605,Smp,GBTFate1MT12,IS,B,12,Fate1,ok,ok,ok,ok,all ok,13017585
L-Arginine,200605_Smp_GBTFate1MT12-IS_C,L-Arginine_13C-0 15N-0,19.05,15804743,0,364294,HILICPos,0,0,200605,Smp,GBTFate1MT12,IS,C,12,Fate1,ok,ok,ok,ok,all ok,15804743
L-Arginine,200605_Smp_GBTFate1MT36-IS_A,L-Arginine_13C-0 15N-0,18.78,39452852,446829,1052114,HILICPos,0,0,200605,Smp,GBTFate1MT36,IS,A,36,Fate1,ok,ok,ok,ok,all ok,39452852
L-Arginine,200605_Smp_GBTFate1MT36-IS_B,L-Arginine_13C-0 15N-0,18.77,25081692,0,684979,HILICPos,0,0,200605,Smp,GBTFate1MT36,IS,B,36,Fate1,ok,ok,ok,ok,all ok,25081692
L-Arginine,200605_Smp_GBTFate1MT36-IS_C,L-Arginine_13C-0 15N-0,18.92,42435544,534842,1094996,HILICPos,0,0,200605,Smp,GBTFate1MT36,IS,C,36,Fate1,ok,ok,ok,ok,all ok,42435544
L-Arginine,200605_Smp_GBTFate1MT4-IS_A,L-Arginine_13C-0 15N-0,18.7,8534696,0,248419,HILICPos,0,0,200605,Smp,GBTFate1MT4,IS,A,4,Fate1,ok,ok,ok,ok,all ok,8534696
L-Arginine,200605_Smp_GBTFate1MT4-IS_B,L-Arginine_13C-0 15N-0,18.75,17213400,276398,478241,HILICPos,0,0,200605,Smp,GBTFate1MT4,IS,B,4,Fate1,ok,ok,ok,ok,all ok,17213400
L-Arginine,200605_Smp_GBTFate1MT4-IS_C,L-Arginine_13C-0 15N-0,18.89,10130253,0,249357,HILICPos,0,0,200605,Smp,GBTFate1MT4,IS,C,4,Fate1,ok,ok,ok,ok,all ok,10130253
L-Arginine,200605_Smp_GBTFate1MT50-IS_A,L-Arginine_13C-0 15N-0,18.91,24233396,243407,615621,HILICPos,0,0,200605,Smp,GBTFate1MT50,IS,A,50,Fate1,ok,ok,ok,ok,all ok,24233396
L-Arginine,200605_Smp_GBTFate1MT50-IS_B,L-Arginine_13C-0 15N-0,18.86,18229694,0,447668,HILICPos,0,0,200605,Smp,GBTFate1MT50,IS,B,50,Fate1,ok,ok,ok,ok,all ok,18229694
L-Arginine,200605_Smp_GBTFate1MT50-IS_C,L-Arginine_13C-0 15N-0,19.01,19387622,0,471105,HILICPos,0,0,200605,Smp,GBTFate1MT50,IS,C,50,Fate1,ok,ok,ok,ok,all ok,19387622
L-Arginine,200605_Smp_GBTFate1MT8-IS_A,L-Arginine_13C-0 15N-0,19.01,11117277,0,301771,HILICPos,0,0,200605,Smp,GBTFate1MT8,IS,A,8,Fate1,ok,ok,ok,ok,all ok,11117277
L-Arginine,200605_Smp_GBTFate1MT8-IS_B,L-Arginine_13C-0 15N-0,18.64,36654392,272332,1009696,HILICPos,0,0,200605,Smp,GBTFate1MT8,IS,B,8,Fate1,ok,ok,ok,ok,all ok,36654392
L-Arginine,200605_Smp_GBTFate1MT8-IS_C,L-Arginine_13C-0 15N-0,18.86,18376162,295774,468279,HILICPos,0,0,200605,Smp,GBTFate1MT8,IS,C,8,Fate1,ok,ok,ok,ok,all ok,18376162
