Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea
Butyrylcarnitine,200612_Smp_GBTFate1MT4-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,253220,0,62140,CyanoAq,0,0,200612,Smp,GBTFate1MT4,pos,B,4,Fate1,ok,ok,ok,ok,all ok,253220
Butyrylcarnitine,200612_Smp_GBTFate1MT4-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,194126,0,49441,CyanoAq,0,0,200612,Smp,GBTFate1MT4,pos,C,4,Fate1,ok,ok,ok,ok,all ok,194126
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,383660,0,111038,CyanoAq,0,0,200612,Smp,GBTFate1MT50,pos,A,50,Fate1,ok,ok,ok,ok,all ok,383660
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_B,Butyrylcarnitine_13C-0 15N-0,1.36,389059,0,109173,CyanoAq,0,0,200612,Smp,GBTFate1MT50,pos,B,50,Fate1,ok,ok,ok,ok,all ok,389059
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,273098,0,80711,CyanoAq,0,0,200612,Smp,GBTFate1MT50,pos,C,50,Fate1,ok,ok,ok,ok,all ok,273098
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,1430017,0,474018,CyanoAq,0,0,200612,Smp,GBTFate1MTlong,pos,A,96,Fate1,ok,ok,ok,ok,all ok,1430017
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,1378710,2541,476330,CyanoAq,0,0,200612,Smp,GBTFate1MTlong,pos,B,96,Fate1,ok,ok,ok,ok,all ok,1378710
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,1797399,0,548033,CyanoAq,0,0,200612,Smp,GBTFate1MTlong,pos,C,96,Fate1,ok,ok,ok,ok,all ok,1797399
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,118134,0,31642,CyanoAq,0,0,200612,Smp,GBTFate2MT0,pos,A,0,Fate2,ok,ok,ok,ok,all ok,118134
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,159291,0,26691,CyanoAq,0,0,200612,Smp,GBTFate2MT0,pos,B,0,Fate2,ok,ok,ok,ok,all ok,159291
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_C,Butyrylcarnitine_13C-0 15N-0,1.33,108119,0,24037,CyanoAq,0,0,200612,Smp,GBTFate2MT0,pos,C,0,Fate2,ok,ok,ok,ok,all ok,108119
Butyrylcarnitine,200612_Smp_GBTFate2MT12-pos_A,Butyrylcarnitine_13C-0 15N-0,1.35,95338,0,25351,CyanoAq,0,0,200612,Smp,GBTFate2MT12,pos,A,12,Fate2,ok,ok,ok,ok,all ok,95338
Butyrylcarnitine,200612_Smp_GBTFate2MT12-pos_B,Butyrylcarnitine_13C-0 15N-0,1.34,107036,0,21936,CyanoAq,0,0,200612,Smp,GBTFate2MT12,pos,B,12,Fate2,ok,ok,ok,ok,all ok,107036
Butyrylcarnitine,200612_Smp_GBTFate2MT12-pos_C,Butyrylcarnitine_13C-0 15N-0,1.34,131832,0,30168,CyanoAq,0,0,200612,Smp,GBTFate2MT12,pos,C,12,Fate2,ok,ok,ok,ok,all ok,131832
Butyrylcarnitine,200612_Smp_GBTFate2MT24-pos_A,Butyrylcarnitine_13C-0 15N-0,1.32,177628,0,41943,CyanoAq,0,0,200612,Smp,GBTFate2MT24,pos,A,24,Fate2,ok,ok,ok,ok,all ok,177628
Butyrylcarnitine,200612_Smp_GBTFate2MT24-pos_B,Butyrylcarnitine_13C-0 15N-0,1.33,103593,0,24869,CyanoAq,0,0,200612,Smp,GBTFate2MT24,pos,B,24,Fate2,ok,ok,ok,ok,all ok,103593
Butyrylcarnitine,200612_Smp_GBTFate2MT24-pos_C,Butyrylcarnitine_13C-0 15N-0,1.34,131407,0,26256,CyanoAq,0,0,200612,Smp,GBTFate2MT24,pos,C,24,Fate2,ok,ok,ok,ok,all ok,131407
Butyrylcarnitine,200612_Smp_GBTFate2MT48-pos_A,Butyrylcarnitine_13C-0 15N-0,1.33,261456,0,74813,CyanoAq,0,0,200612,Smp,GBTFate2MT48,pos,A,48,Fate2,ok,ok,ok,ok,all ok,261456
Butyrylcarnitine,200612_Smp_GBTFate2MT48-pos_B,Butyrylcarnitine_13C-0 15N-0,1.32,169329,403,53608,CyanoAq,0,0,200612,Smp,GBTFate2MT48,pos,B,48,Fate2,ok,ok,ok,ok,all ok,169329
Butyrylcarnitine,200612_Smp_GBTFate2MT48-pos_C,Butyrylcarnitine_13C-0 15N-0,1.34,257496,0,77711,CyanoAq,0,0,200612,Smp,GBTFate2MT48,pos,C,48,Fate2,ok,ok,ok,ok,all ok,257496
Butyrylcarnitine,200612_Smp_GBTFate2MT5-pos_A,Butyrylcarnitine_13C-0 15N-0,1.32,91449,0,20897,CyanoAq,0,0,200612,Smp,GBTFate2MT5,pos,A,5,Fate2,ok,ok,ok,ok,all ok,91449
Butyrylcarnitine,200612_Smp_GBTFate2MT5-pos_B,Butyrylcarnitine_13C-0 15N-0,1.34,74454,0,12737,CyanoAq,0,0,200612,Smp,GBTFate2MT5,pos,B,5,Fate2,ok,ok,ok,ok,all ok,74454
Butyrylcarnitine,200612_Smp_GBTFate2MT5-pos_C,Butyrylcarnitine_13C-0 15N-0,1.35,NA,0,16087,CyanoAq,0,0,200612,Smp,GBTFate2MT5,pos,C,5,Fate2,comparable to blank,ok,ok,ok,something is wrong,46173
Butyrylcarnitine,200612_Smp_GBTFate2MTlong-pos_A,Butyrylcarnitine_13C-0 15N-0,1.33,295980,0,81831,CyanoAq,0,0,200612,Smp,GBTFate2MTlong,pos,A,96,Fate2,ok,ok,ok,ok,all ok,295980
Butyrylcarnitine,200612_Smp_GBTFate2MTlong-pos_B,Butyrylcarnitine_13C-0 15N-0,1.34,285894,0,79836,CyanoAq,0,0,200612,Smp,GBTFate2MTlong,pos,B,96,Fate2,ok,ok,ok,ok,all ok,285894
Butyrylcarnitine,200612_Smp_GBTFate2MTlong-pos_C,Butyrylcarnitine_13C-0 15N-0,1.32,170828,0,41346,CyanoAq,0,0,200612,Smp,GBTFate2MTlong,pos,C,96,Fate2,ok,ok,ok,ok,all ok,170828
Butyrylcarnitine,200612_Smp_GBTFate1MT8-pos_A,Butyrylcarnitine_13C-0 15N-0,1.38,142834,0,41384,CyanoAq,0,0,200612,Smp,GBTFate1MT8,pos,A,8,Fate1,ok,ok,ok,ok,all ok,142834
Butyrylcarnitine,200612_Smp_GBTFate1MT8-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,325764,0,95669,CyanoAq,0,0,200612,Smp,GBTFate1MT8,pos,B,8,Fate1,ok,ok,ok,ok,all ok,325764
Butyrylcarnitine,200612_Smp_GBTFate1MT8-pos_C,Butyrylcarnitine_13C-0 15N-0,1.38,215685,0,52167,CyanoAq,0,0,200612,Smp,GBTFate1MT8,pos,C,8,Fate1,ok,ok,ok,ok,all ok,215685
Butyrylcarnitine,200612_Blk_GBTFate1MBlk-pos_A,Butyrylcarnitine_13C-1 15N-0,1.18,NA,0,3302,CyanoAq,0,1,200612,Blk,GBTFate1MBlk,pos,A,NA,Fate1,comparable to blank,ok,ok,ok,something is wrong,2063
Butyrylcarnitine,200612_Blk_GBTFate1MBlk-pos_B,Butyrylcarnitine_13C-1 15N-0,1.28,NA,0,0,CyanoAq,0,1,200612,Blk,GBTFate1MBlk,pos,B,NA,Fate1,comparable to blank,NA,too small,ok,something is wrong,0
Butyrylcarnitine,200612_Smp_GBTFate1MT0-pos_A,Butyrylcarnitine_13C-1 15N-0,1.37,11898,0,9314,CyanoAq,0,1,200612,Smp,GBTFate1MT0,pos,A,0,Fate1,ok,ok,ok,ok,all ok,11898
Butyrylcarnitine,200612_Smp_GBTFate1MT0-pos_B,Butyrylcarnitine_13C-1 15N-0,1.37,15497,0,8554,CyanoAq,0,1,200612,Smp,GBTFate1MT0,pos,B,0,Fate1,ok,ok,ok,ok,all ok,15497
Butyrylcarnitine,200612_Smp_GBTFate1MT0-pos_C,Butyrylcarnitine_13C-1 15N-0,1.36,16418,0,8906,CyanoAq,0,1,200612,Smp,GBTFate1MT0,pos,C,0,Fate1,ok,ok,ok,ok,all ok,16418
Butyrylcarnitine,200612_Smp_GBTFate1MT12-pos_A,Butyrylcarnitine_13C-1 15N-0,1.37,14803,0,10046,CyanoAq,0,1,200612,Smp,GBTFate1MT12,pos,A,12,Fate1,ok,ok,ok,ok,all ok,14803
Butyrylcarnitine,200612_Smp_GBTFate1MT12-pos_B,Butyrylcarnitine_13C-1 15N-0,1.37,29207,0,11282,CyanoAq,0,1,200612,Smp,GBTFate1MT12,pos,B,12,Fate1,ok,ok,ok,ok,all ok,29207
Butyrylcarnitine,200612_Smp_GBTFate1MT12-pos_C,Butyrylcarnitine_13C-1 15N-0,1.37,7871,0,4456,CyanoAq,0,1,200612,Smp,GBTFate1MT12,pos,C,12,Fate1,ok,ok,ok,ok,all ok,7871
Butyrylcarnitine,200612_Smp_GBTFate1MT36-pos_A,Butyrylcarnitine_13C-1 15N-0,1.37,27386,0,10320,CyanoAq,0,1,200612,Smp,GBTFate1MT36,pos,A,36,Fate1,ok,ok,ok,ok,all ok,27386
Butyrylcarnitine,200612_Smp_GBTFate1MT36-pos_B,Butyrylcarnitine_13C-1 15N-0,1.38,10378,0,6052,CyanoAq,0,1,200612,Smp,GBTFate1MT36,pos,B,36,Fate1,ok,ok,ok,ok,all ok,10378
Butyrylcarnitine,200612_Smp_GBTFate1MT36-pos_C,Butyrylcarnitine_13C-1 15N-0,1.36,19602,0,6435,CyanoAq,0,1,200612,Smp,GBTFate1MT36,pos,C,36,Fate1,ok,ok,ok,ok,all ok,19602
Butyrylcarnitine,200612_Smp_GBTFate1MT4-pos_A,Butyrylcarnitine_13C-1 15N-0,1.36,15042,0,7319,CyanoAq,0,1,200612,Smp,GBTFate1MT4,pos,A,4,Fate1,ok,ok,ok,ok,all ok,15042
Butyrylcarnitine,200612_Smp_GBTFate1MT4-pos_B,Butyrylcarnitine_13C-1 15N-0,1.38,18433,0,8421,CyanoAq,0,1,200612,Smp,GBTFate1MT4,pos,B,4,Fate1,ok,ok,ok,ok,all ok,18433
Butyrylcarnitine,200612_Smp_GBTFate1MT4-pos_C,Butyrylcarnitine_13C-1 15N-0,1.36,NA,0,2535,CyanoAq,0,1,200612,Smp,GBTFate1MT4,pos,C,4,Fate1,comparable to blank,ok,ok,ok,something is wrong,2311
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_A,Butyrylcarnitine_13C-1 15N-0,1.38,19079,0,7593,CyanoAq,0,1,200612,Smp,GBTFate1MT50,pos,A,50,Fate1,ok,ok,ok,ok,all ok,19079
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_B,Butyrylcarnitine_13C-1 15N-0,1.38,21813,0,8971,CyanoAq,0,1,200612,Smp,GBTFate1MT50,pos,B,50,Fate1,ok,ok,ok,ok,all ok,21813
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_C,Butyrylcarnitine_13C-1 15N-0,1.36,19406,0,8032,CyanoAq,0,1,200612,Smp,GBTFate1MT50,pos,C,50,Fate1,ok,ok,ok,ok,all ok,19406
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_A,Butyrylcarnitine_13C-1 15N-0,1.38,107818,0,37311,CyanoAq,0,1,200612,Smp,GBTFate1MTlong,pos,A,96,Fate1,ok,ok,ok,ok,all ok,107818
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_B,Butyrylcarnitine_13C-1 15N-0,1.38,123003,0,31676,CyanoAq,0,1,200612,Smp,GBTFate1MTlong,pos,B,96,Fate1,ok,ok,ok,ok,all ok,123003
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_C,Butyrylcarnitine_13C-1 15N-0,1.37,144427,0,36809,CyanoAq,0,1,200612,Smp,GBTFate1MTlong,pos,C,96,Fate1,ok,ok,ok,ok,all ok,144427
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_A,Butyrylcarnitine_13C-1 15N-0,1.39,4968,0,2241,CyanoAq,0,1,200612,Smp,GBTFate2MT0,pos,A,0,Fate2,ok,ok,ok,ok,all ok,4968
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_B,Butyrylcarnitine_13C-1 15N-0,1.34,NA,0,3245,CyanoAq,0,1,200612,Smp,GBTFate2MT0,pos,B,0,Fate2,comparable to blank,ok,ok,ok,something is wrong,3679
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_C,Butyrylcarnitine_13C-1 15N-0,1.17,NA,0,0,CyanoAq,0,1,200612,Smp,GBTFate2MT0,pos,C,0,Fate2,comparable to blank,NA,too small,ok,something is wrong,0
Butyrylcarnitine,200612_Smp_GBTFate2MT12-pos_A,Butyrylcarnitine_13C-1 15N-0,1.36,NA,0,4508,CyanoAq,0,1,200612,Smp,GBTFate2MT12,pos,A,12,Fate2,comparable to blank,ok,ok,ok,something is wrong,3021
Butyrylcarnitine,200612_Smp_GBTFate2MT12-pos_B,Butyrylcarnitine_13C-1 15N-0,1.33,6057,0,6012,CyanoAq,0,1,200612,Smp,GBTFate2MT12,pos,B,12,Fate2,ok,ok,ok,ok,all ok,6057
Butyrylcarnitine,200612_Smp_GBTFate2MT12-pos_C,Butyrylcarnitine_13C-1 15N-0,1.37,5209,0,3362,CyanoAq,0,1,200612,Smp,GBTFate2MT12,pos,C,12,Fate2,ok,ok,ok,ok,all ok,5209
Butyrylcarnitine,200612_Smp_GBTFate2MT24-pos_A,Butyrylcarnitine_13C-1 15N-0,1.39,8424,0,4860,CyanoAq,0,1,200612,Smp,GBTFate2MT24,pos,A,24,Fate2,ok,ok,ok,ok,all ok,8424
Butyrylcarnitine,200612_Smp_GBTFate2MT24-pos_B,Butyrylcarnitine_13C-1 15N-0,1.34,NA,0,0,CyanoAq,0,1,200612,Smp,GBTFate2MT24,pos,B,24,Fate2,comparable to blank,NA,too small,ok,something is wrong,0
Butyrylcarnitine,200612_Smp_GBTFate2MT24-pos_C,Butyrylcarnitine_13C-1 15N-0,1.47,NA,0,1961,CyanoAq,0,1,200612,Smp,GBTFate2MT24,pos,C,24,Fate2,comparable to blank,ok,ok,ok,something is wrong,2295
Butyrylcarnitine,200612_Smp_GBTFate2MT48-pos_A,Butyrylcarnitine_13C-1 15N-0,1.32,26271,0,9288,CyanoAq,0,1,200612,Smp,GBTFate2MT48,pos,A,48,Fate2,ok,ok,ok,ok,all ok,26271
Butyrylcarnitine,200612_Smp_GBTFate2MT48-pos_B,Butyrylcarnitine_13C-1 15N-0,1.32,13574,0,5535,CyanoAq,0,1,200612,Smp,GBTFate2MT48,pos,B,48,Fate2,ok,ok,ok,ok,all ok,13574
Butyrylcarnitine,200612_Smp_GBTFate2MT48-pos_C,Butyrylcarnitine_13C-1 15N-0,1.35,27387,0,11777,CyanoAq,0,1,200612,Smp,GBTFate2MT48,pos,C,48,Fate2,ok,ok,ok,ok,all ok,27387
Butyrylcarnitine,200612_Smp_GBTFate2MT5-pos_A,Butyrylcarnitine_13C-1 15N-0,1.32,NA,0,0,CyanoAq,0,1,200612,Smp,GBTFate2MT5,pos,A,5,Fate2,comparable to blank,NA,too small,ok,something is wrong,0
Butyrylcarnitine,200612_Smp_GBTFate2MT5-pos_B,Butyrylcarnitine_13C-1 15N-0,1.52,NA,0,2536,CyanoAq,0,1,200612,Smp,GBTFate2MT5,pos,B,5,Fate2,comparable to blank,ok,ok,ok,something is wrong,2024
Butyrylcarnitine,200612_Smp_GBTFate2MT5-pos_C,Butyrylcarnitine_13C-1 15N-0,1.35,NA,0,3638,CyanoAq,0,1,200612,Smp,GBTFate2MT5,pos,C,5,Fate2,comparable to blank,ok,ok,ok,something is wrong,2278
Butyrylcarnitine,200612_Smp_GBTFate2MTlong-pos_A,Butyrylcarnitine_13C-1 15N-0,1.33,38897,0,17658,CyanoAq,0,1,200612,Smp,GBTFate2MTlong,pos,A,96,Fate2,ok,ok,ok,ok,all ok,38897
Butyrylcarnitine,200612_Smp_GBTFate2MTlong-pos_B,Butyrylcarnitine_13C-1 15N-0,1.32,35458,0,12337,CyanoAq,0,1,200612,Smp,GBTFate2MTlong,pos,B,96,Fate2,ok,ok,ok,ok,all ok,35458
Butyrylcarnitine,200612_Smp_GBTFate2MTlong-pos_C,Butyrylcarnitine_13C-1 15N-0,1.33,30623,0,12171,CyanoAq,0,1,200612,Smp,GBTFate2MTlong,pos,C,96,Fate2,ok,ok,ok,ok,all ok,30623
Butyrylcarnitine,200612_Smp_GBTFate1MT8-pos_A,Butyrylcarnitine_13C-1 15N-0,1.4,4352,0,2191,CyanoAq,0,1,200612,Smp,GBTFate1MT8,pos,A,8,Fate1,ok,ok,ok,ok,all ok,4352
Butyrylcarnitine,200612_Smp_GBTFate1MT8-pos_B,Butyrylcarnitine_13C-1 15N-0,1.37,16694,0,11312,CyanoAq,0,1,200612,Smp,GBTFate1MT8,pos,B,8,Fate1,ok,ok,ok,ok,all ok,16694
Butyrylcarnitine,200612_Smp_GBTFate1MT8-pos_C,Butyrylcarnitine_13C-1 15N-0,1.35,16023,0,6507,CyanoAq,0,1,200612,Smp,GBTFate1MT8,pos,C,8,Fate1,ok,ok,ok,ok,all ok,16023
Butyrylcarnitine,200612_Blk_GBTFate1MBlk-pos_A,Butyrylcarnitine_13C-2 15N-0,9.85,NA,0,19011,CyanoAq,0,2,200612,Blk,GBTFate1MBlk,pos,A,NA,Fate1,NA,ok,ok,bad RT,something is wrong,51977
Butyrylcarnitine,200612_Blk_GBTFate1MBlk-pos_B,Butyrylcarnitine_13C-2 15N-0,9.86,NA,0,20779,CyanoAq,0,2,200612,Blk,GBTFate1MBlk,pos,B,NA,Fate1,NA,ok,ok,bad RT,something is wrong,38470
Butyrylcarnitine,200612_Smp_GBTFate1MT0-pos_A,Butyrylcarnitine_13C-2 15N-0,1.37,NA,0,4387,CyanoAq,0,2,200612,Smp,GBTFate1MT0,pos,A,0,Fate1,NA,ok,ok,ok,NA,2648
Butyrylcarnitine,200612_Smp_GBTFate1MT0-pos_B,Butyrylcarnitine_13C-2 15N-0,9.85,NA,0,18993,CyanoAq,0,2,200612,Smp,GBTFate1MT0,pos,B,0,Fate1,NA,ok,ok,bad RT,something is wrong,52749
Butyrylcarnitine,200612_Smp_GBTFate1MT0-pos_C,Butyrylcarnitine_13C-2 15N-0,1.37,NA,0,1902,CyanoAq,0,2,200612,Smp,GBTFate1MT0,pos,C,0,Fate1,NA,ok,ok,ok,NA,1761
Butyrylcarnitine,200612_Smp_GBTFate1MT12-pos_A,Butyrylcarnitine_13C-2 15N-0,1.06,NA,0,5534,CyanoAq,0,2,200612,Smp,GBTFate1MT12,pos,A,12,Fate1,NA,ok,ok,bad RT,something is wrong,4369
Butyrylcarnitine,200612_Smp_GBTFate1MT12-pos_B,Butyrylcarnitine_13C-2 15N-0,9.85,NA,0,20827,CyanoAq,0,2,200612,Smp,GBTFate1MT12,pos,B,12,Fate1,NA,ok,ok,bad RT,something is wrong,66522
Butyrylcarnitine,200612_Smp_GBTFate1MT12-pos_C,Butyrylcarnitine_13C-2 15N-0,9.87,NA,0,14088,CyanoAq,0,2,200612,Smp,GBTFate1MT12,pos,C,12,Fate1,NA,ok,ok,bad RT,something is wrong,46661
Butyrylcarnitine,200612_Smp_GBTFate1MT36-pos_A,Butyrylcarnitine_13C-2 15N-0,1.46,NA,0,2529,CyanoAq,0,2,200612,Smp,GBTFate1MT36,pos,A,36,Fate1,NA,ok,ok,ok,NA,1918
Butyrylcarnitine,200612_Smp_GBTFate1MT36-pos_B,Butyrylcarnitine_13C-2 15N-0,9.86,NA,0,13202,CyanoAq,0,2,200612,Smp,GBTFate1MT36,pos,B,36,Fate1,NA,ok,ok,bad RT,something is wrong,41989
Butyrylcarnitine,200612_Smp_GBTFate1MT36-pos_C,Butyrylcarnitine_13C-2 15N-0,1.09,NA,0,2842,CyanoAq,0,2,200612,Smp,GBTFate1MT36,pos,C,36,Fate1,NA,ok,ok,bad RT,something is wrong,2743
Butyrylcarnitine,200612_Smp_GBTFate1MT4-pos_A,Butyrylcarnitine_13C-2 15N-0,9.87,NA,0,22686,CyanoAq,0,2,200612,Smp,GBTFate1MT4,pos,A,4,Fate1,NA,ok,ok,bad RT,something is wrong,53076
Butyrylcarnitine,200612_Smp_GBTFate1MT4-pos_B,Butyrylcarnitine_13C-2 15N-0,1.08,NA,0,6308,CyanoAq,0,2,200612,Smp,GBTFate1MT4,pos,B,4,Fate1,NA,ok,ok,bad RT,something is wrong,4050
Butyrylcarnitine,200612_Smp_GBTFate1MT4-pos_C,Butyrylcarnitine_13C-2 15N-0,9.86,NA,0,12553,CyanoAq,0,2,200612,Smp,GBTFate1MT4,pos,C,4,Fate1,NA,ok,ok,bad RT,something is wrong,33924
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_A,Butyrylcarnitine_13C-2 15N-0,1.23,NA,0,4581,CyanoAq,0,2,200612,Smp,GBTFate1MT50,pos,A,50,Fate1,NA,ok,ok,ok,NA,5399
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_B,Butyrylcarnitine_13C-2 15N-0,1,NA,0,3462,CyanoAq,0,2,200612,Smp,GBTFate1MT50,pos,B,50,Fate1,NA,ok,ok,bad RT,something is wrong,2738
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_C,Butyrylcarnitine_13C-2 15N-0,9.86,NA,0,18433,CyanoAq,0,2,200612,Smp,GBTFate1MT50,pos,C,50,Fate1,NA,ok,ok,bad RT,something is wrong,48432
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_A,Butyrylcarnitine_13C-2 15N-0,1.37,NA,0,3804,CyanoAq,0,2,200612,Smp,GBTFate1MTlong,pos,A,96,Fate1,NA,ok,ok,ok,NA,2531
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_B,Butyrylcarnitine_13C-2 15N-0,1.23,NA,0,4875,CyanoAq,0,2,200612,Smp,GBTFate1MTlong,pos,B,96,Fate1,NA,ok,ok,ok,NA,4401
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_C,Butyrylcarnitine_13C-2 15N-0,1.39,NA,0,2147,CyanoAq,0,2,200612,Smp,GBTFate1MTlong,pos,C,96,Fate1,NA,ok,ok,ok,NA,2147
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_A,Butyrylcarnitine_13C-2 15N-0,1.79,NA,0,1657,CyanoAq,0,2,200612,Smp,GBTFate2MT0,pos,A,0,Fate2,NA,ok,ok,bad RT,something is wrong,1655
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_B,Butyrylcarnitine_13C-2 15N-0,9.85,NA,0,18196,CyanoAq,0,2,200612,Smp,GBTFate2MT0,pos,B,0,Fate2,NA,ok,ok,bad RT,something is wrong,54349
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_C,Butyrylcarnitine_13C-2 15N-0,9.85,NA,0,22453,CyanoAq,0,2,200612,Smp,GBTFate2MT0,pos,C,0,Fate2,NA,ok,ok,bad RT,something is wrong,53964
Butyrylcarnitine,200612_Smp_GBTFate2MT12-pos_A,Butyrylcarnitine_13C-2 15N-0,9.86,NA,0,18732,CyanoAq,0,2,200612,Smp,GBTFate2MT12,pos,A,12,Fate2,NA,ok,ok,bad RT,something is wrong,52126
Butyrylcarnitine,200612_Smp_GBTFate2MT12-pos_B,Butyrylcarnitine_13C-2 15N-0,9.86,NA,0,19414,CyanoAq,0,2,200612,Smp,GBTFate2MT12,pos,B,12,Fate2,NA,ok,ok,bad RT,something is wrong,47882
Butyrylcarnitine,200612_Smp_GBTFate2MT12-pos_C,Butyrylcarnitine_13C-2 15N-0,1.98,NA,0,2855,CyanoAq,0,2,200612,Smp,GBTFate2MT12,pos,C,12,Fate2,NA,ok,ok,bad RT,something is wrong,1864
